n,seed,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
32,1,132,9.609966,9.606922,9.590218
32,1,133,17.438294,17.435305,17.424264
32,1,134,12.783773,12.780807,12.766450
32,1,135,12.694541,12.691376,12.674591
32,1,136,14.113904,14.110585,14.096795
32,1,137,18.439620,18.436718,18.414284
32,1,138,20.175637,20.170848,20.148969
32,1,139,30.297920,30.294403,30.272483
32,1,140,9.367907,9.364416,9.349064
32,1,141,12.400545,12.397038,12.380175
32,1,142,11.796513,11.793391,11.779646
32,1,143,19.533712,19.530678,19.508605
32,1,144,9.311598,9.308644,9.287710
32,1,145,6.984802,6.981834,6.960419
32,1,146,19.945457,19.942251,19.928994
32,1,147,22.960397,22.957299,22.942703
32,1,148,9.504742,9.501090,9.482889
32,1,149,11.414472,11.411429,11.395099
32,1,150,36.040940,36.038356,36.023315
32,1,151,48.285901,48.280938,48.269405
32,1,152,20.073230,20.068885,20.042621
32,1,153,10.543703,10.540273,10.521681
32,1,154,9.262333,9.256581,9.227606
32,1,155,13.720800,13.716760,13.695148
32,1,156,25.613723,25.609093,25.589748
32,1,157,19.340103,19.336579,19.319968
32,1,158,33.115456,33.110824,33.095177
32,1,159,13.564909,13.561228,13.544501
32,1,160,12.450875,12.447853,12.433896
32,1,161,28.977265,28.972327,28.952010
32,1,162,5.230587,5.227067,5.204394
32,1,163,24.216330,24.213108,24.192097
32,2,1,0.090582,0.068816,0.051169
32,2,2,0.085813,0.077922,0.061220
32,2,3,0.103669,0.100082,0.079789
32,2,4,0.112871,0.109950,0.093461
32,2,5,0.189780,0.186996,0.175132
32,2,6,3.357196,3.354168,3.338320
32,2,7,0.172171,0.169201,0.161500
32,2,8,0.201522,0.198756,0.179379
32,2,9,2.695351,2.691480,2.676321
32,2,10,0.533796,0.531132,0.510573
32,2,11,0.891348,0.888744,0.876755
32,2,12,1.302541,1.299777,1.287129
32,2,13,0.666207,0.663390,0.652301
32,2,14,1.213039,1.210356,1.192412
32,2,15,0.280372,0.277631,0.258148
32,2,16,1.797256,1.794664,1.783711
32,2,17,0.991165,0.987853,0.977567
32,2,18,2.316004,2.313052,2.295763
32,2,19,3.112591,3.109807,3.077692
32,2,20,1.152942,1.150164,1.134927
32,2,21,3.660216,3.657437,3.641769
32,2,22,0.687538,0.684788,0.662684
32,2,23,1.352559,1.349447,1.339639
32,2,24,6.241587,6.233443,6.213591
32,2,25,4.455853,4.450917,4.412885
32,2,26,2.606099,2.602689,2.583877
32,2,27,4.060538,4.057214,4.037831
32,2,28,4.400308,4.396408,4.365043
32,2,29,0.562719,0.559717,0.547022
32,2,30,3.600056,3.595221,3.574817
32,2,31,2.931355,2.928203,2.909146
32,2,32,1.216240,1.213405,1.203285
32,2,33,4.634241,4.631324,4.608933
32,2,34,5.522129,5.519097,5.508082
32,2,35,5.543044,5.540055,5.529851
32,2,36,7.723485,7.720726,7.703133
