n,seed,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
20,1,1,1.255966,1.234547,0.031137
20,1,2,0.029504,0.025604,0.011107
20,1,3,0.027709,0.025317,0.015779
20,1,4,0.018559,0.014583,0.011136
20,1,5,0.048468,0.039993,0.025262
20,1,6,0.028191,0.026060,0.016698
20,1,7,0.027973,0.026608,0.014051
20,1,8,0.028193,0.026993,0.016800
20,1,9,0.051677,0.050011,0.035496
20,1,10,0.038587,0.037430,0.027087
20,1,11,0.041026,0.039996,0.030476
20,1,12,0.051778,0.050642,0.037871
20,1,13,0.053489,0.052363,0.042552
20,1,14,0.028115,0.026984,0.013359
20,1,15,0.029004,0.027943,0.013022
20,1,16,0.028371,0.027211,0.015337
20,1,17,0.028545,0.027405,0.014237
20,1,18,0.025872,0.024803,0.016645
20,1,19,0.025906,0.024829,0.014085
20,1,20,0.024430,0.023367,0.013839
20,1,21,0.028159,0.027101,0.013109
20,1,22,0.023645,0.022602,0.018907
20,1,23,0.026003,0.024827,0.016324
20,1,24,0.028992,0.027909,0.018989
20,1,25,0.028237,0.027169,0.018195
20,1,26,0.040574,0.039522,0.026847
20,1,27,0.026637,0.025554,0.014370
20,1,28,0.027904,0.026837,0.013789
20,1,29,0.025835,0.024765,0.014716
20,1,30,0.087064,0.085988,0.077672
20,1,31,0.064370,0.063277,0.054266
20,1,32,0.060247,0.059169,0.050183
20,1,33,0.039724,0.038661,0.031767
20,1,34,0.027351,0.026204,0.016443
20,1,35,0.028744,0.027355,0.015788
20,1,36,0.027825,0.026099,0.014797
20,1,37,0.065509,0.064089,0.050826
20,1,38,0.028186,0.027094,0.019163
20,1,39,0.028761,0.027498,0.017730
20,1,40,0.025400,0.024311,0.015998
20,1,41,0.063262,0.062181,0.050275
20,1,42,0.028235,0.027166,0.017296
20,1,43,0.065691,0.064606,0.048972
20,1,44,0.028131,0.027064,0.013738
20,1,45,0.028100,0.027020,0.014366
20,1,46,0.028169,0.027100,0.016800
20,1,47,0.115472,0.114394,0.103025
20,1,48,0.050795,0.049721,0.037528
20,1,49,0.053195,0.052131,0.036286
20,1,50,0.053171,0.052084,0.043162
20,1,51,0.052643,0.051445,0.043715
20,1,52,0.028002,0.026938,0.014644
20,1,53,0.027571,0.026416,0.019507
20,1,54,0.040857,0.039608,0.031573
20,1,55,0.027364,0.026242,0.015136
20,1,56,0.026286,0.025084,0.016490
20,1,57,0.027715,0.026431,0.012897
20,1,58,0.030484,0.029144,0.020106
20,1,59,0.028425,0.027013,0.020135
20,1,60,0.110890,0.109645,0.094698
20,1,61,0.025943,0.024862,0.021286
