n,seed,n_obs,n_menus,min_menu_size,max_menu_size,method,total_time_s,error,n_iters,n_ip_calls,ip_build_s,ip_total_s,ip_mean_s,ip_max_s,ip_solve_total_s,ip_solve_mean_s,ip_solve_max_s,ip_gurobi_total_s,status,hostname,cpu_model,n_logical_cores,sampled_ids
32,1,992,496,2,2,CG_IP,1343.919272458,0.000826220404005912,163,163,0.039210541,1338.067845668,8.20900518814724,48.285901084,1337.549650128,8.20582607440491,48.280937791,1334.10255074501,ok,Haoges-iMac.local,Apple M1,8,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32]
32,2,992,496,2,2,CG_IP,1359.980372125,0.00082995890652894,177,177,0.01076225,1358.543409676,7.67538649534463,50.972681416,1357.920939129,7.67186971259322,50.969545,1355.02322602272,ok,Haoges-iMac.local,Apple M1,8,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32]
