rid,weight
5b858788-c4c9-4157-8e87-bfe12df05427,0.5656701518590863
5b8587e5-f852-48d2-9c2c-5199343c5697,1.0366548360488352
5b85890d-7ca4-4e68-862e-3c5cad5c238f,1
5b8587ee-4616-431c-a46a-80efb53f96f0,1.0768783894817808
5b85887a-0364-4140-879d-b2f7134a94f4,0.5656701518590863
5b858a0f-afec-40e8-9801-e04683ca702e,1.3234712253021494
5b858a26-4c95-490d-8e66-16028f30d65c,0.5849961793899939
5b85882d-2712-491e-9563-0e5ff1184fed,0.5656701518590863
5b8587df-f1dc-486f-84df-22e707df2e9e,0.5656701518590863
5b85880d-21db-40a9-8b78-4e28fe28a797,0.5656701518590863
5b858a43-e14b-4576-97c7-fcb113819c03,1.4618175355609218
5b858702-780b-4add-bd49-c3a2633a4873,0.7575281066724064
5b8589f8-af9b-4924-b89e-f02eee59b8af,0.9079655551178172
5b858ac6-af5e-412b-8af8-2b28da22a99f,0.9483077392541528
5b858833-84b9-4a07-a6ab-ddc4b2cbd7ad,1
5b858881-34f2-4621-8e91-5968f26293d9,0.5656701518590863
5b8588aa-6a25-46e4-b2f1-6a691b949f71,0.5656701518590863
5b858a1c-57f6-4a19-8611-7240f80cf3ab,0.6561105816702079
5b858b3c-3cd2-4282-9141-4f4de3a83c74,2.2626806074363452
5b8589ff-bc2d-428a-aacd-7a8ea97fb757,0.5656701518590863
5b858afd-a6e0-403a-943c-fd0542716d14,0.9168828720254083
5b858a09-e252-4674-b261-369fc9c89afd,1.2580680071295633
5b858a1d-b576-412e-8376-de5cb0db663c,0.5656701518590863
5b858a06-b328-45b7-8192-0e59dc7ccebe,1.6999903112360373
5b858afa-d510-4549-b345-f9251f4db520,0.5656701518590863
5b858a26-6939-43ef-9c5c-39944f2640a3,1
5b858b44-37b9-40b2-a4a5-05fa65fe68dd,1.224052305934072
5b858a06-1981-4626-b21f-d14cc2fbb361,0.5656701518590863
5b8589fb-a577-42c4-b3e5-e2d7c74fc625,2.2626806074363452
5b858a3a-a9b7-4b40-ab4f-5013222b3e57,0.704301690985648
5b858a3b-9585-48da-b080-7c814c72c1ef,1.0949821783632114
5b858a35-e157-4cb9-9616-8510e5f4e9ce,1
5b858a15-d7ab-4006-ba51-d1bef67d297f,0.6519431135023953
5b8589f4-2345-46c1-ba25-09eb74f5ce65,0.7575281066724064
5b858a0b-a0aa-4a27-95a2-1aea5a5608a0,1.509587510434588
5b858a12-de43-45cd-8aa3-abf7a93edc05,0.8789017016365731
5b858c8b-0643-4afb-95d7-f4b643670f17,1.0843327231377473
5b858b27-75e5-4c35-baf7-1c1b9df0d93c,1.7597147040199936
5b858b39-a82c-4845-848b-75844d9b3771,1
5b858a3c-d71f-4304-86a4-8ee6a98b13f7,0.6616384646338018
5b858c95-6c34-4498-93b6-3ff85f2221d3,2.2626806074363452
5b858b62-eccd-4306-84bf-97f75ee04fd0,2.2626806074363452
5b858b3c-516c-4cb2-ae36-6116481cad14,2.2626806074363452
5b858a28-3c13-4831-8a45-e57a2c2f884a,0.5656701518590863
5b858d2c-6ed9-4b74-b13c-a21a50fb091c,0.9913531408872479
5b858b6e-415e-4bf1-8931-d87e35eac2d6,0.5656701518590863
5b858ced-c6bf-48ac-9b6d-44687287b8b7,0.5656701518590863
5b858a00-074c-4ea7-bd69-6cba613af787,0.6343158453263656
5b8589fe-0a41-4c65-8156-91476070d867,1.4376487074558586
5b858d2f-74eb-49d5-ade9-01d860aaeb4c,1
