county,prec_id,dId_birth,dId_city,dId_pct,co,precinct
Flathead,PREC 01,-1.5243611206776313,0.022307015343098424,-0.20340640809443505,Flathead,1
Flathead,PREC 02,-0.1896019408941414,0,-0.2509503460018038,Flathead,2
Flathead,PREC 03,-1.6425153154995358,0.039297747538546535,-0.20254254530657323,Flathead,3
Flathead,PREC 04,-2.764590435613327,0.0033916465998991008,-0.20810819350965337,Flathead,4
Flathead,PREC 05,-0.8311996035322289,-0.06539907387745725,-0.14469950756951694,Flathead,5
Flathead,PREC 06,-3.5030325629174133,-0.009492167435776189,-0.1697292949646778,Flathead,6
Flathead,PREC 07,-1.6586338000831422,0,-0.2204300486151442,Flathead,7
Flathead,PREC 08,-2.8768592221223517,0,-0.17555199894128687,Flathead,8
Flathead,PREC 11,-1.7432100042607592,0,-0.13632398753894082,Flathead,11
Flathead,PREC 13,-2.489508473317943,0,-0.16714583126796861,Flathead,13
Flathead,PREC 14,-1.5121793566659367,0,-0.03740015318962686,Flathead,14
Flathead,PREC 15,-1.7642087778702673,0,-0.18934169278996865,Flathead,15
Flathead,PREC 16,0.3325646156092774,-0.002146366648084319,-0.15559531385970155,Flathead,16
Flathead,PREC 17,0.8255902147175176,0,-0.1390927130924362,Flathead,17
Flathead,PREC 18,-2.3134956763850734,0.004570109501186161,-0.1813386108427411,Flathead,18
Flathead,PREC 19,-0.6937434664474611,0,-0.18597300337457817,Flathead,19
Flathead,PREC 20,-0.24206021421435686,-0.0054550668099705435,-0.0995061409179056,Flathead,20
Flathead,PREC 21,-1.6669947526813713,0,-0.19529257927427257,Flathead,21
Flathead,PREC 23,-1.8079794360885266,0,-0.13847073240843,Flathead,23
Flathead,PREC 24,-0.8673144099594927,0,-0.168762547708871,Flathead,24
Flathead,PREC 25,-2.9246658057725154,0,-0.2256577614728455,Flathead,25
Flathead,PREC 26,-1.7758714700151808,0,-0.10951371700434259,Flathead,26
Flathead,PREC 29,-0.6292538886429542,-0.002501353433802464,-0.14736897735372867,Flathead,29
Flathead,PREC 31,-3.6477689644195435,-0.026576795111630358,-0.22203791146772828,Flathead,31
Flathead,PREC 32,0.5586993068745745,0.0035402887298795482,-0.1520572450805009,Flathead,32
Flathead,PREC 33,-1.663741451446914,0,-0.21284833563323363,Flathead,33
Flathead,PREC 34,-1.3134857592799503,-0.006355966073819305,-0.1763649286037346,Flathead,34
Flathead,PREC 35,-2.2470858739948554,-0.00861961534562139,-0.18480460715754832,Flathead,35
Flathead,PREC 36,-1.3021734378357785,0,-0.14941318437081147,Flathead,36
Flathead,PREC 37,-2.9139807928220374,0.002906049816463252,-0.2712924256067052,Flathead,37
Flathead,PREC 38,-0.80753077613745194,0,-0.13180174266702704,Flathead,38
Flathead,PREC 39,-1.4060592056172827,0,-0.1562087808554739,Flathead,39
Flathead,PREC 41,-3.9203655092040743,-0.028186532048619317,-0.15690393014829174,Flathead,41
Flathead,PREC 42,-2.410425448852993,0,-0.16257250749406316,Flathead,42
Flathead,PREC 43,-2.8667660509347765,0,-0.18195208087503034,Flathead,43
Flathead,PREC 44,-1.6457318367678557,0,-0.1587575645336327,Flathead,44
Flathead,PREC 45,-1.6282145147968135,-0.02548304807015589,-0.18194018483159685,Flathead,45
