Party7,Type,c_party,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
Dem,D- vs. D+,R,0.31116989850423016,0.028246167198617035,0.25635335248251184,0.3639856596078633,0.3095152877268155,0.3095767807014584,1,0,0,1000
Dem,D+ vs. D-,D,0.31116989850423016,0.028246167198617035,0.25635335248251184,0.3639856596078633,0.3095152877268155,0.3095767807014584,1,0,0,1000
Dem,D+ vs. D-,R,0.4871145608630263,0.03065696966641036,0.42729852603624235,0.5436994963378864,0.48759562191440475,0.4869296059459492,1,0,0,1000
Dem,D+ vs. V-,D,0.30012215445110096,0.0455805750137704,0.21736425245560345,0.3901446111516244,0.3007046700716286,0.3019539655010784,1,0,0,1000
Dem,D+ vs. V-,R,0.6123851229371048,0.05226399380061193,0.5022938113770369,0.7094585258926449,0.6104795796426881,0.6081362021945095,1,0,0,1000
Dem,V- vs. D+,D,0.6123851229371048,0.05226399380061193,0.5022938113770369,0.7094585258926449,0.6104795796426881,0.6081362021945095,1,0,0,1000
Dem,V- vs. D+,R,0.30012215445110096,0.0455805750137704,0.21736425245560345,0.3901446111516244,0.3007046700716286,0.3019539655010784,1,0,0,1000
"Lean
Dem",D+ vs. D+,D,0.42863535703471006,0.028433219624559053,0.37540911959267237,0.4852068201211061,0.42901188612696733,0.42882685484420846,1,0,0,1000
"Lean
Dem",D+ vs. D+,R,0.42863535703471006,0.028433219624559053,0.37540911959267237,0.4852068201211061,0.42901188612696733,0.42882685484420846,1,0,0,1000
"Lean
Dem",D- vs. D+,D,0.5563191723644498,0.03140658459628786,0.49706194384634983,0.6208406202740159,0.5584939157729667,0.5564463355094221,1,0,0,1000
"Lean
Dem",D- vs. D+,R,0.23888150642105946,0.038739213106764626,0.16726267823532484,0.31857586391964027,0.237660154710199,0.23899211536011497,1,0,0,1000
"Lean
Dem",D+ vs. D-,D,0.23888150642105946,0.038739213106764626,0.16726267823532484,0.31857586391964027,0.237660154710199,0.23899211536011497,1,0,0,1000
"Lean
Dem",D+ vs. D-,R,0.5563191723644498,0.03140658459628786,0.49706194384634983,0.6208406202740159,0.5584939157729667,0.5564463355094221,1,0,0,1000
"Lean
Dem",D+ vs. V-,D,0.24492752116609648,0.053790537094283206,0.14305511171875068,0.3538251962808322,0.2429102180285876,0.24478686496689603,1,0,0,1000
"Lean
Dem",D+ vs. V-,R,0.7859054475652171,0.060198255700080826,0.6558092664946819,0.8934270605352561,0.788151557649129,0.7842892003583086,1,0,0,1000
"Lean
Dem",V- vs. D+,D,0.7859054475652171,0.060198255700080826,0.6558092664946819,0.8934270605352561,0.788151557649129,0.7842892003583086,1,0,0,1000
"Lean
Dem",V- vs. D+,R,0.24492752116609648,0.053790537094283206,0.14305511171875068,0.3538251962808322,0.2429102180285876,0.24478686496689603,1,0,0,1000
Indep,D+ vs. D+,D,0.47433377344095357,0.02376205120357066,0.42627027277541,0.518308326266883,0.47481831015993947,0.4738786176615263,1,0,0,1000
Indep,D+ vs. D+,R,0.47433377344095357,0.02376205120357066,0.42627027277541,0.518308326266883,0.47481831015993947,0.4738786176615263,1,0,0,1000
Indep,D- vs. D+,D,0.5966234721865543,0.02816187791031429,0.5400659496922963,0.6507116411067144,0.5959404783724727,0.5966374541461419,1,0,0,1000
