m_respSameParty,Type,estimate,mu,se,q2.5,q97.5,gt0,lt0,NAs,Nsim
Resp diff,D+ vs. D+,0.36948878536114915,0.36944487543086113,0.014343513250008318,0.3410731274342031,0.3972264769139918,1,0,0,5000
Resp diff,D- vs. D+,0.24364705462914574,0.24377244683903182,0.010720635059935,0.22305770587660043,0.2651885315455869,1,0,0,5000
Resp diff,D+ vs. D-,0.45238431423560216,NaN,NA,NA,NA,NaN,NaN,5000,5000
Resp same,D+ vs. D+,0.6305112146388508,0.6303984752617136,0.014290025554938066,0.6017170068348924,0.6586150505784505,1,0,0,5000
Resp same,D- vs. D+,0.5476156857643978,0.5474569571654498,0.011553084759032228,0.5247656556450484,0.5696874895461012,1,0,0,5000
Resp same,D+ vs. D-,0.7563529453708542,NaN,NA,NA,NA,NaN,NaN,5000,5000
