Type,m_dem_code,Measure,Transformation,value,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
D+ vs. D+,Generic,Policy Rank,Squared,-0.3,0.38207806439237035,0.011662206581620631,0.35887157649881074,0.405842076641997,0.38288790920704163,0.3823079768487119,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Squared,-0.1,0.426586606098431,0.01104926612147795,0.4063704478877543,0.4488493545622486,0.4274319806473532,0.4271774660306243,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Squared,0.1,0.573413393901569,0.011049266121477951,0.5511506454377514,0.5936295521122459,0.5725680193526468,0.5728225339693757,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Squared,0.3,0.6179219356076296,0.011662206581620631,0.594157923358003,0.6411284235011893,0.6171120907929584,0.6176920231512881,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Squared,0.5,0.6779368477511805,0.013281319665549823,0.6500797873096484,0.7027082660761332,0.6777393325583179,0.6777753296312342,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Squared,0.7,0.7312418005781265,0.020435573643816707,0.6900197438974719,0.7702199611525496,0.7319038579370654,0.7311225391656052,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Squared,0.9,0.7721484454117994,0.031198248563365977,0.7110633744651336,0.8327505960316227,0.7723703886761373,0.7723917527031745,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Absolute,-0.9,0.11271920677407021,0.029188502835703158,0.0598607446809724,0.17244215631737633,0.11085110967335696,0.11224658796707318,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Absolute,-0.7,0.14410064692040764,0.027563156925427264,0.09356369315320512,0.2026092967860751,0.14370342370699787,0.14453733886501702,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Absolute,-0.5,0.2340812224403332,0.014578611491648973,0.2073972132088728,0.26492935876865614,0.23403385225449935,0.23423648148498424,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Absolute,-0.3,0.2888027078897402,0.012782315117714724,0.26295726075924697,0.3134427589885041,0.2881793390636864,0.28846393325865927,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Absolute,-0.1,0.4472449741189407,0.009360984551818332,0.42939262646959486,0.46570830196562335,0.44781185785071775,0.44780466747852726,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Absolute,0.1,0.5527550258810593,0.009360984551818332,0.5342916980343767,0.5706073735304051,0.5521881421492822,0.5521953325214728,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Absolute,0.3,0.7111972921102597,0.01278231511771472,0.686557241011496,0.737042739240753,0.7118206609363136,0.7115360667413407,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Absolute,0.5,0.7659187775596669,0.014578611491648975,0.7350706412313438,0.7926027867911272,0.7659661477455006,0.7657635185150158,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Absolute,0.7,0.8558993530795923,0.027563156925427264,0.7973907032139248,0.9064363068467948,0.8562965762930022,0.855462661134983,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Absolute,0.9,0.8872807932259298,0.029188502835703158,0.8275578436826236,0.9401392553190275,0.889148890326643,0.8877534120329268,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Squared,-0.9,0.13011818414513207,0.03272719791716062,0.07139656249701368,0.19736530722733217,0.12803307574587452,0.12992711252425276,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Squared,-0.7,0.13921203480280203,0.027934146461087276,0.08893192710236826,0.1997716563642828,0.1385006749269485,0.13991016234039416,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Squared,-0.5,0.23659310378458662,0.014563279290771869,0.21012601060242808,0.2653910213026352,0.23652656696823077,0.23680851432886865,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Squared,-0.3,0.29835077782165886,0.014216910597773729,0.2695480142543903,0.327374499110652,0.2976388054667666,0.29785469567310363,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Squared,-0.1,0.44126508459642716,0.009034828051402832,0.4233659003702699,0.4586454160376867,0.44136280925985627,0.4416053035116541,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Squared,0.1,0.5587349154035729,0.00903482805140283,0.5413545839623132,0.5766340996297301,0.5586371907401437,0.5583946964883458,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Squared,0.3,0.7016492221783411,0.014216910597773729,0.672625500889348,0.7304519857456097,0.7023611945332335,0.7021453043268964,1,0,0,1000
