term,estimate,mu,se,q2.5,q97.5,gt0,lt0,NAs,Nsim
(Intercept),0.4976608603309807,0.4977869036221251,0.013834529947409427,0.4704240133516577,0.5249818391294364,1,0,0,5000
TypeD- vs. D+,-0.09898253160458247,-0.098924481804936,0.016031272469123257,-0.13005473839252898,-0.06651969527393678,0,1,0,5000
TypeD+ vs. D-,0.10894340588948845,NaN,NA,NA,NA,NaN,NaN,5000,5000
c_PartyRepublican,0.004678279338043777,0.004405654266126737,0.02033604831176022,-0.03614592609270489,0.043890073514906064,0.5932,0.4068,0,5000
TypeD- vs. D+:c_PartyRepublican,-0.009960874284900077,-0.009859692583791855,0.02216106064020368,-0.053003737814880034,0.032641165105165654,0.332,0.668,0,5000
TypeD+ vs. D-:c_PartyRepublican,-0.009960874284901153,NaN,NA,NA,NA,NaN,NaN,5000,5000
