Subset,term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
Cross-party contests,(Intercept),0.5000000000000043,0.009215039386820976,0.48203763746412936,0.5180930690667547,0.5001273888557105,0.5001563740363081,1,0,0,5000
Cross-party contests,diff_dem_type_u,-0.10391894037979939,0.01170566087350002,-0.12722983645251645,-0.08120882285936598,-0.10421121192108172,-0.10397698275245906,0,1,0,5000
Moderate party-policy alignment,(Intercept),0.5000000000000024,0.024805799948417494,0.45077222969500685,0.5486163415545862,0.5000603512533603,0.49996156578720086,1,0,0,5000
Moderate party-policy alignment,diff_dem_type_u,-0.03459122375238181,0.03085676333392115,-0.09537091910509311,0.026383707703149014,-0.034708916866669645,-0.03434172235195763,0.1298,0.8702,0,5000
Platform divergence,(Intercept),0.49999999999997474,0.012218388580743828,0.4764980665800032,0.5237692147510258,0.5002207589053509,0.5001997341340815,1,0,0,5000
Platform divergence,diff_dem_type_u,-0.07266702488740748,0.015528722159489531,-0.1035558202292807,-0.042525842416596564,-0.07293376097574653,-0.07293492840318525,0,1,0,5000
