Type,Measure,Transformation,value,Stat,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim,estimate_reg,std.error,statistic,p.value,conf.low,conf.high,df,outcome
D+ vs. D+,Spatial Distance,Squared,-0.3,Mean,0.31277507868180654,0.012432886059241042,0.28882223488929687,0.3378803991417271,0.3124042714836476,0.31245945287915955,1,0,0,1000,0.31277507868180476,0.011946693092388215,26.18089175498181,1.0279742348966066e-94,0.28930118664756993,0.3362489707160396,483.143953775363,c_win
D+ vs. D+,Spatial Distance,Squared,-0.1,Mean,0.4255938879021493,0.009418697482507595,0.40703521364276773,0.44408671087784485,0.4261081145084852,0.4258948895558258,1,0,0,1000,0.4255938879021466,0.009318623986896174,45.671323201860666,6.308548965317951e-202,0.40729451660961646,0.4438932591946767,629.1397931378822,c_win
D+ vs. D+,Spatial Distance,Squared,0.1,Mean,0.5744061120978506,0.0094186974825076,0.5559132891221552,0.5929647863572322,0.5738918854915149,0.5741051104441742,1,0,0,1000,0.5744061120978459,0.00931862398689618,61.6406577736771,8.473922725667797e-269,0.5561067408053157,0.592705483390376,629.1397931378822,c_win
D+ vs. D+,Spatial Distance,Squared,0.3,Mean,0.6872249213181935,0.012432886059241043,0.6621196008582729,0.7111777651107031,0.6875957285163525,0.6875405471208405,1,0,0,1000,0.6872249213181916,0.011946693092388211,57.52428023417244,2.675184612693322e-218,0.6637510292839568,0.7106988133524264,483.143953775363,c_win
D+ vs. D+,Spatial Distance,Squared,0.5,Mean,0.7175542840311997,0.019465758806506642,0.6781554991936946,0.756878053019192,0.7172296911660967,0.7173183143687528,1,0,0,1000,0.7175542840311986,0.01950319853158295,36.79162076257444,5.049168411326543e-100,0.6791327594596903,0.7559758086027069,237.2946075425806,c_win
D+ vs. D+,Spatial Distance,Squared,0.7,Mean,0.7462854552197076,0.03438329589002757,0.6782445898073406,0.8116689943510081,0.7463504288157344,0.7461911558644003,1,0,0,1000,0.7462854552197082,0.03392457529992191,21.99837282034968,5.053828089775094e-39,0.6789350903656957,0.8136358200737208,94.82886447165947,c_win
D+ vs. D+,Spatial Distance,Squared,0.9,Mean,0.9321331210553968,0.0507481384418285,0.8264478929124152,1,0.9413035960715879,0.9334834610385341,1,0,0,1000,0.9321331210553966,0.05083863251389438,18.33513363681923,1.8476699761023594e-11,0.823480078422816,1.0407861636879772,14.5493464464369,c_win
D- vs. D+,Party/Policy Bundle,Absolute,-0.9,Mean,0.10657564499876988,0.024489852602672307,0.061066089384859454,0.1559116584146492,0.10638595049360455,0.10721744568008963,1,0,0,1000,0.10657564499876988,0.02434886570015399,4.377027098970605,3.831965011183648e-5,0.05807118578136969,0.15508010421617008,75.09148467197338,c_win
D- vs. D+,Party/Policy Bundle,Absolute,-0.7,Mean,0.15728472151045433,0.02589388772393319,0.11156200511580835,0.21230079840412483,0.15771208103087692,0.15856204067316618,1,0,0,1000,0.15728472151045442,0.026309426981762866,5.978264810536574,3.1007119394806665e-8,0.10512174918203657,0.20944769383887227,105.65360094074717,c_win
D- vs. D+,Party/Policy Bundle,Absolute,-0.5,Mean,0.14877335059658472,0.016524624028305245,0.11806854242854042,0.18030440464353226,0.1482399171680256,0.14864625709602972,1,0,0,1000,0.14877335059658472,0.01645442113275328,9.041542658735318,4.552813145757739e-16,0.11628041942755968,0.18126628176560977,161.91655954424542,c_win
D- vs. D+,Party/Policy Bundle,Absolute,-0.3,Mean,0.2327543551335947,0.017509094358874884,0.19949673642357738,0.26879986748692025,0.23271801165439268,0.23313723638232314,1,0,0,1000,0.23275435513359508,0.01677143588162266,13.878021940186779,1.5837764704814544e-32,0.19971590713974463,0.2657928031274455,239.3764900735259,c_win
