c_Party,term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
Democrat,(Intercept),0.4976608603309634,0.013834529947409309,0.4704240133516616,0.5249818391294255,0.4976583044688747,0.4977869036221254,1,0,0,5000
Democrat,TypeD- vs. D+,-0.09898253160458677,0.01603127246912336,-0.1300547383925262,-0.06651969527393872,-0.09891379737112718,-0.09892448180493658,0,1,0,5000
Republican,(Intercept),0.502339139669004,0.01358671040053974,0.4754629723559186,0.5286068313772752,0.5026274372206352,0.5021925578882516,1,0,0,5000
Republican,TypeD- vs. D+,-0.1089434058894805,0.01618747487616126,-0.14030225538962177,-0.07635520001428629,-0.1086316121175401,-0.10878417438872842,0,1,0,5000
