statistic,bootstrap,regression
estimate.TypeD- vs. D+,-0.11739711354556809,-0.11739711354557203
se,0.008853635330381098,0.005503750231620886
2.5%,-0.13469592732459806,-0.12820117862232586
97.5%,-0.09991137614518511,-0.10659304846881822
gt0,0,NA
lt0,1,NA
NAs,0,NA
Nsim,5000,NA
