m_respSameParty,term,estimate,mu,se,q2.5,q97.5,gt0,lt0,NAs,Nsim
Resp diff,(Intercept),0.4999999999999946,0.4999239895670005,0.015312547485973351,0.4699799767838154,0.5295615093318582,1,0,0,5000
Resp diff,TypeD- vs. D+,-0.17478190783424136,-0.1747428654752394,0.019110715231151047,-0.21265541288315357,-0.13687657198347258,0,1,0,5000
Resp same,(Intercept),0.4999999999999899,0.4999112993193526,0.015324843997808242,0.46992269708361895,0.5296692888190674,1,0,0,5000
Resp same,TypeD- vs. D+,-0.0852396906875587,-0.08500130888898352,0.019265893406892994,-0.12284491190251315,-0.04772218775088059,0,1,0,5000
Difference,(Intercept),0.4999999999999727,0.49992398956699824,0.015312547485973176,0.4699799767838097,0.5295615093318684,1,0,0,5000
Difference,TypeD- vs. D+,-0.1747819078342518,-0.17474286547523785,0.019110715231150877,-0.21265541288315495,-0.1368765719834708,0,1,0,5000
Difference,m_respSamePartyResp same,1.7632517399695386e-15,-1.2690247647466557e-5,0.021621678464541633,-0.042683456478665116,0.04285755269691218,0.499,0.501,0,5000
Difference,TypeD- vs. D+:m_respSamePartyResp same,0.08954221714668953,0.08974155658625543,0.026674760357387643,0.03684804107086017,0.1410682081805388,0.9996,4e-4,0,5000
