m_candSameParty,term,estimate,mu,se,q2.5,q97.5,gt0,lt0,NAs,Nsim
Cand diff,(Intercept),0.5000000000000043,0.5001563740363081,0.009215039386820976,0.48203763746412936,0.5180930690667547,1,0,0,5000
Cand diff,diff_dem_type_u,-0.10391894037979939,-0.10397698275245906,0.01170566087350002,-0.12722983645251645,-0.08120882285936598,0,1,0,5000
Cand same,(Intercept),0.499999999999979,0.49983345578984983,0.009955058774997154,0.4803062354935369,0.5194219358956258,1,0,0,5000
Cand same,diff_dem_type_u,-0.13299348900355687,-0.1328179703510316,0.012688114936871343,-0.15727510144841345,-0.1076103407435106,0,1,0,5000
Difference,(Intercept),0.5000000000000223,0.5001563740363058,0.009215039386821123,0.48203763746413447,0.5180930690667375,1,0,0,5000
Difference,diff_dem_type_u,-0.10391894037980341,-0.10397698275245904,0.011705660873500067,-0.12722983645251382,-0.08120882285937045,0,1,0,5000
Difference,m_candSamePartyCand same,-4.1387937365788414e-17,-3.229182464582681e-4,0.013331499684887413,-0.026309962104653594,0.025826188878964287,0.4944,0.5056,0,5000
Difference,diff_dem_type_u:m_candSamePartyCand same,-0.02907454862375264,-0.028840987598572558,0.016745253263010972,-0.06114231957000933,0.004433340795625928,0.0436,0.9564,0,5000
