"","V1","V2"
"360",12953151,7
"361",12956307,7
"362",12958589,9
"363",12959248,3
"364",12960012,10
"365",12961400,11
"366",12961571,8
"367",12961617,1
"368",12962698,7
"369",12963682,7
"370",12967025,15
"371",12967518,8
"372",12968841,13
"373",12969049,7
"374",12978005,4
"375",12978918,1
"376",12981271,1
"377",12983917,13
"378",12985411,18
"379",12986595,12
"380",12987170,3
"381",12988542,20
"382",12989718,6
"383",12990825,17
"384",12994628,11
"385",12999599,10
"386",13000118,8
"387",13000453,7
"388",13002558,10
"389",13004992,1
"390",13005312,12
"391",13005351,1
"392",13005478,5
"393",13011603,0
"394",13019375,9
"395",13020008,7
"396",13025805,1
"397",13026221,8
"398",13027315,1
"399",13027362,10
"400",13027958,2
"401",13030984,1
"402",13031802,8
"403",13033920,4
"404",13035545,22
"405",13035854,2
"406",13040067,1
"407",13041336,12
"408",13042446,7
"409",13044326,24
"410",13045685,17
"411",13048910,5
"412",13049352,9
"413",13051208,9
"414",13051478,6
"415",13057059,16
"416",13062112,0
"417",13066813,4
"418",13069363,5
"419",13078016,4
"420",13079050,9
"421",13081194,1
"422",13081395,42
"423",13085661,3
"424",13086941,8
"425",13087766,0
"426",13090674,4
"427",13091886,6
"428",13096443,2
"429",13098632,14
"430",13099091,3
"431",13100679,8
"432",13103502,4
"433",13103676,2
"434",13103853,3
"435",13104437,16
"436",13105983,0
"437",13107920,4
"438",13108657,3
"439",13108905,7
"440",13112998,8
"441",13113371,10
"442",13114068,3
"443",13114426,15
"444",13114730,0
"445",13116422,14
"446",13116644,6
"447",13117200,7
"448",13117261,10
"449",13119557,5
"450",13120108,22
"451",13121036,10
"452",13123180,1
"453",13125374,11
"454",13125520,9
"455",13125799,8
"456",13127256,9
"457",13128331,9
"458",13129036,3
"459",13130440,7
"460",13131962,8
"461",13132222,9
"462",13135548,9
"463",13136549,6
"464",13140939,2
"465",13142835,7
"466",13142850,2
"467",13143809,1
"468",13147309,14
"469",13148579,7
"470",13149272,5
"471",13150270,9
"472",13151247,13
"473",13151712,3
"474",13153345,3
"475",13153791,6
"476",13157893,11
"477",13158296,3
"478",13158697,42
"479",13159136,11
"480",13163908,2
"481",13164570,3
"482",13166720,2
"483",13166916,4
"484",13173644,10
"485",13176218,1
"486",13179526,8
"487",13180754,9
"488",13181767,0
"489",13182975,8
"490",13185444,6
"491",13185997,7
"492",13186846,6
"493",13188053,10
"494",13188943,7
"495",13189789,0
"496",13192473,2
"497",13193391,5
"498",13200827,6
"499",13201028,1
"500",13204522,2
"501",1323983,5
