"","V1","V2"
"360",12953151,20
"361",12956307,16
"362",12958589,19
"363",12959248,5
"364",12960012,24
"365",12961400,27
"366",12961571,40
"367",12961617,1
"368",12962698,12
"369",12963682,8
"370",12967025,21
"371",12967518,18
"372",12968841,33
"373",12969049,9
"374",12978005,20
"375",12978918,1
"376",12981271,1
"377",12983917,144
"378",12985411,69
"379",12986595,26
"380",12987170,9
"381",12988542,103
"382",12989718,18
"383",12990825,61
"384",12994628,39
"385",12999599,32
"386",13000118,30
"387",13000453,8
"388",13002558,12
"389",13004992,1
"390",13005312,46
"391",13005351,1
"392",13005478,7
"393",13011603,0
"394",13019375,33
"395",13020008,11
"396",13025805,1
"397",13026221,48
"398",13027315,1
"399",13027362,23
"400",13027958,10
"401",13030984,2
"402",13031802,55
"403",13033920,20
"404",13035545,62
"405",13035854,2
"406",13040067,1
"407",13041336,58
"408",13042446,35
"409",13044326,74
"410",13045685,77
"411",13048910,6
"412",13049352,49
"413",13051208,44
"414",13051478,21
"415",13057059,69
"416",13062112,0
"417",13066813,14
"418",13069363,22
"419",13078016,15
"420",13079050,44
"421",13081194,1
"422",13081395,118
"423",13085661,7
"424",13086941,32
"425",13087766,0
"426",13090674,25
"427",13091886,12
"428",13096443,8
"429",13098632,21
"430",13099091,3
"431",13100679,58
"432",13103502,10
"433",13103676,8
"434",13103853,3
"435",13104437,66
"436",13105983,0
"437",13107920,5
"438",13108657,9
"439",13108905,14
"440",13112998,24
"441",13113371,44
"442",13114068,6
"443",13114426,64
"444",13114730,0
"445",13116422,70
"446",13116644,16
"447",13117200,15
"448",13117261,39
"449",13119557,6
"450",13120108,138
"451",13121036,13
"452",13123180,2
"453",13125374,28
"454",13125520,34
"455",13125799,14
"456",13127256,17
"457",13128331,19
"458",13129036,4
"459",13130440,16
"460",13131962,29
"461",13132222,34
"462",13135548,20
"463",13136549,6
"464",13140939,6
"465",13142835,10
"466",13142850,2
"467",13143809,1
"468",13147309,94
"469",13148579,14
"470",13149272,18
"471",13150270,49
"472",13151247,46
"473",13151712,7
"474",13153345,3
"475",13153791,45
"476",13157893,74
"477",13158296,4
"478",13158697,389
"479",13159136,64
"480",13163908,2
"481",13164570,4
"482",13166720,2
"483",13166916,8
"484",13173644,27
"485",13176218,2
"486",13179526,16
"487",13180754,24
"488",13181767,0
"489",13182975,16
"490",13185444,7
"491",13185997,12
"492",13186846,13
"493",13188053,23
"494",13188943,8
"495",13189789,0
"496",13192473,2
"497",13193391,17
"498",13200827,22
"499",13201028,1
"500",13204522,3
"501",1323983,8
"502",1325723,15
"503",1327511,8
"504",1328954,75
"505",1330019,15
"506",1331175,7
"507",1331439,52
"508",1332580,46
"509",1333120,46
"510",1334086,50
"511",1334953,7
"512",1335713,2
"513",1335812,3
"514",1337567,0
"515",1337843,0
"516",1338643,188
"517",1340164,22
"518",1340735,81
"519",1341198,101
"520",1341893,44
"521",13204725,12
"522",13204936,151
"523",13206237,8
"524",13207390,5
"525",13210604,8
"526",13211801,27
"527",13213580,11
"528",13213684,11
"529",13213765,0
"530",13215357,60
"531",13219668,27
"532",13219836,12
"533",13221292,0
"534",13223278,1
"535",13223965,31
"536",13225480,20
"537",13227051,47
"538",13227697,7
"539",13227835,0
"540",13228843,38
"541",13229282,79
"542",13232225,2
"543",13234671,17
"544",13235001,9
"545",13235373,4
"546",13236235,5
"547",13239908,1
"548",13239911,9
"549",13241668,50
"550",13241838,4
"551",13243766,4
"552",13244938,34
"553",13245281,1
"554",13248236,4
"555",13249247,0
"556",13249981,4
"557",13250014,3
"558",13250708,0
"559",13250724,2
"560",13251623,5
"561",13252571,10
"562",13252947,3
"563",13253841,0
"564",13256427,3
"565",13257639,12
"566",13260597,16
"567",13261466,14
"568",13262775,71
"569",13263909,0
"570",13268621,8
"571",13270163,81
"572",13271956,2
"573",13275285,0
"574",13276086,16
"575",13280184,9
"576",13283664,0
"577",13284354,5
"578",13286688,0
"579",13287044,9
"580",13287616,0
"581",13288807,7
"582",13292583,5
"583",13292724,0
"584",13293890,0
"585",13294290,12
"586",13298416,27
"587",13298839,35
"588",13298954,15
"589",13299905,0
"590",13300039,0
"591",13300860,6
"592",13300884,1
"593",13300923,0
"594",13302776,0
"595",13303356,1
"596",13306226,2
"597",13307499,1
"598",13308305,0
"599",13309674,9
"600",13310094,32
"601",13310248,5
"602",13310977,0
"603",13311677,8
"604",13314309,0
"605",13316079,7
"606",13323055,22
"607",13325353,0
"608",13326351,2
"609",13326662,2
"610",13326887,6
"611",13327351,6
"612",13327980,1
"613",13329121,0
"614",13335122,25
"615",13335495,4
"616",13335587,25
"617",13335794,17
"618",13337093,8
"619",13339211,5
"620",13342221,3
"621",13343354,0
"622",13344429,13
"623",13344459,2
"624",13347240,1
"625",13357322,5
"626",13357994,4
"627",13360241,7
"628",13363780,29
"629",13371556,45
"630",13375350,3
"631",13375705,17
"632",13377700,33
"633",13380439,7
"634",13381779,9
"635",13382417,10
"636",13382723,26
"637",13383453,44
"638",13385010,2
"639",13387043,11
"640",13387510,32
"641",13387745,7
"642",13387975,4
"643",13389839,15
"644",13390962,119
"645",13397775,3
"646",13405649,175
"647",13408260,36
"648",13410361,4
"649",13413691,4
"650",13414741,193
"651",13419103,36
"652",13420976,22
"653",13421139,5
"654",13424781,11
"655",13425471,20
"656",13426351,32
"657",13427164,40
"658",13427395,48
"659",13427646,9
"660",13430631,19
"661",13432464,3
"662",13432521,8
"663",13435705,2
"664",13435760,14
"665",13437783,12
"666",13438444,9
"667",13440637,0
"668",13442485,4
"669",13444034,3
"670",13445450,0
"671",13445543,41
"672",13445569,37
"673",13450439,4
"674",13451967,41
"675",13454165,41
"676",13454830,15
"677",13455734,0
"678",13459388,27
"679",13460423,59
"680",13463939,21
"681",13464042,42
"682",13464230,31
"683",13465303,6
"684",13468222,8
"685",13469753,7
"686",13471372,28
"687",13471651,1
"688",13471867,5
"689",13478562,24
"690",13480546,6
"691",13486337,27
"692",13486493,20
"693",13486612,19
"694",13487499,1
"695",13487973,0
"696",13493162,37
"697",13495433,23
"698",13495683,11
"699",13495950,13
"700",13497312,2
"701",13498360,2
"702",13502372,5
"703",13502620,5
"704",13503877,8
"705",13504820,8
"706",13506136,8
"707",13507999,22
"708",13510840,76
"709",13512710,1
"710",13515586,9
"711",13517651,2
"712",13520289,2
"713",13520596,4
"714",13522811,23
"715",13525799,51
"716",13534408,1
"717",13535167,31
"718",13544743,72
"719",13547367,7
"720",13552115,0
"721",1343106,1
"722",1348877,20
"723",1351014,35
"724",1352530,0
"725",1353148,6
"726",1353520,3
"727",1353870,28
"728",1354159,44
"729",1355551,3
"730",1357638,53
"731",1360953,2
"732",1361628,64
"733",1363515,10
"734",1364091,44
"735",1368204,0
"736",1369593,11
"737",1369648,98
"738",1373239,35
"739",1373813,46
"740",1375448,60
"741",13558533,22
"742",13558734,8
"743",13558971,2
"744",13560761,4
"745",13567326,1
"746",13567553,6
"747",13577444,37
"748",13577799,2
"749",13578736,17
"750",13579105,10
"751",13579823,4
"752",13580762,6
"753",13584558,5
"754",13593043,12
"755",13596731,4
"756",13603644,198
"757",13604488,4
"758",13607556,0
"759",13609437,29
"760",13609513,21
"761",13610996,34
"762",13615475,13
"763",13619030,4
"764",13624892,6
"765",13625117,72
"766",13626270,0
"767",13631862,20
"768",13633913,29
"769",13637114,13
"770",13637280,7
"771",13638701,27
"772",13639551,36
"773",13641768,24
"774",13649393,0
"775",13649694,1
"776",13655408,35
"777",13656311,19
"778",13657046,0
"779",13658079,2
"780",13662539,7
"781",13665008,11
"782",13665691,3
"783",13666218,29
"784",13667146,21
"785",13667961,1
"786",13667965,0
"787",13668164,6
"788",13669189,151
"789",13672253,6
"790",13672285,0
"791",13675014,36
"792",13675524,12
"793",13675847,7
"794",13678437,13
"795",13679249,19
"796",13681209,11
"797",13686111,12
"798",13686539,11
"799",13686727,57
"800",13687127,24
"801",13687672,43
"802",13689668,2
"803",13694534,0
"804",13696470,25
"805",13703357,59
"806",13703462,0
"807",13704875,17
"808",13705864,5
"809",13707136,41
"810",13707645,12
"811",13708829,30
"812",13709902,24
"813",13715270,68
"814",13717096,2
"815",13721981,15
"816",13723839,98
"817",13725280,48
"818",13725886,2
"819",13726641,12
"820",13731960,1
"821",13732048,51
"822",13732150,51
"823",13732183,9
"824",13732254,84
"825",13733169,19
"826",13735021,87
"827",13736076,45
"828",13736091,41
"829",13737232,3
"830",13737306,62
"831",13737480,3
"832",13738452,11
"833",13744964,18
"834",13750104,12
"835",13751323,23
"836",13755089,49
"837",13756423,38
"838",13757865,11
"839",13757959,1
"840",13760449,3
"841",13760716,26
"842",13761008,0
"843",13763156,53
"844",13764146,13
"845",13767014,46
"846",13767512,2
"847",13767668,44
"848",13768090,49
"849",13768483,89
"850",13776792,158
"851",13778450,43
"852",13781445,13
"853",13782284,7
"854",13784341,62
"855",13790023,46
"856",13790248,11
"857",13790435,17
"858",13792456,11
"859",13797879,50
"860",13799327,2
"861",13806713,22
"862",13809582,10
"863",13811022,4
"864",13813889,12
"865",13814476,85
"866",13818023,0
"867",13819606,4
"868",13820081,5
"869",13822738,5
"870",13826643,4
"871",13826657,69
"872",13827813,72
"873",13828674,11
"874",13830973,2
"875",13839076,54
"876",13843266,47
"877",13843471,25
"878",13843755,12
"879",13844244,42
"880",13844817,24
"881",13847191,7
"882",13847669,20
"883",13847740,13
"884",13848446,40
"885",13850194,55
"886",13851267,17
"887",13853180,24
"888",13854648,124
"889",13855970,11
"890",13856014,100
"891",13858225,15
"892",13859414,27
"893",13859769,18
"894",13862959,83
"895",13863062,6
"896",13864565,7
"897",13866067,2
"898",13866218,66
"899",13868392,178
"900",13868833,345
"901",13870557,10
"902",13871243,9
"903",13872222,59
"904",13872835,8
"905",13875294,7
"906",13877313,16
"907",13879746,29
"908",13881394,40
"909",13882451,60
"910",13882930,6
"911",13883466,56
"912",13883975,4
"913",13885226,1
"914",13887279,71
"915",13887484,34
"916",13888044,15
"917",13888217,6
"918",13890771,6
"919",13891510,6
"920",13892485,1
"921",13892658,53
"922",13893434,8
"923",13895769,6
"924",13896419,16
"925",13898983,40
"926",13899934,127
"927",13899982,32
"928",13900047,34
"929",13904135,4
"930",13904163,1
"931",13905360,3
"932",13912153,44
"933",13915109,207
"934",13915990,3
"935",13916166,2
"936",13917554,8
"937",13917703,8
"938",13920563,349
"939",13920920,102
"940",13926915,16
"941",1377400,27
"942",1377795,31
"943",1378059,27
"944",1379129,8
"945",1379668,25
"946",1380394,1
"947",1381668,0
"948",1382343,1
"949",1383231,1
"950",1384885,40
"951",1389924,79
"952",1392023,13
"953",1392618,51
"954",1395027,24
"955",1399323,24
"956",1400388,46
"957",1402484,12
"958",1403780,6
"959",1405943,6
"960",1406009,46
"961",13927625,23
"962",13931210,100
"963",13932740,21
"964",13937106,112
"965",13937328,7
"966",13939190,7
"967",13941064,154
"968",13941405,24
"969",13943011,12
"970",13944891,8
"971",13945756,49
"972",13952255,4
"973",13953191,0
"974",13953265,65
"975",13956385,25
"976",13960601,27
"977",13961103,1
"978",13962052,10
"979",13962400,1
"980",13962539,17
"981",13963181,56
"982",13969301,104
"983",13970871,212
"984",13972029,1
"985",13972705,15
"986",13973585,77
"987",13974214,12
"988",13975315,1
"989",13976819,47
"990",13979189,59
"991",13980038,12
"992",13980227,9
"993",13982327,22
"994",13984589,4
"995",13985728,1
"996",13988019,62
"997",13990194,67
"998",13991519,4
"999",13991864,5
"1000",13992223,10
"1001",13992421,32
"1002",13998361,14
"1003",14002007,5
"1004",14003655,25
"1005",14005711,13
"1006",14005992,53
"1007",14006822,2
"1008",14007990,98
"1009",14008189,19
"1010",14014141,0
"1011",14014322,77
"1012",14016147,41
"1013",14016660,9
"1014",14018454,26
"1015",14018776,23
"1016",14026283,4
"1017",14026619,50
"1018",14027869,5
"1019",14028505,1
"1020",14029034,31
"1021",14031552,20
"1022",14032148,29
"1023",14032455,27
"1024",14033637,49
"1025",14034865,10
"1026",14035432,55
"1027",14036010,26
"1028",14037505,17
"1029",14037531,14
"1030",14038992,19
"1031",14047022,1
"1032",14048949,6
"1033",14053613,12
"1034",14053778,18
"1035",14055546,26
"1036",14057653,37
"1037",14065548,13
"1038",14068648,9
"1039",14072465,8
"1040",14074953,36
"1041",14080170,26
"1042",14081693,9
"1043",14086074,33
"1044",14086451,8
"1045",14086704,24
"1046",14091928,42
"1047",14094042,2
"1048",14094704,10
"1049",14095480,23
"1050",14095875,98
"1051",14100275,29
"1052",14100597,71
"1053",14101521,49
"1054",14106343,0
"1055",14106356,27
"1056",14108777,8
"1057",14116651,0
"1058",14117195,17
"1059",14119904,15
"1060",14120502,36
"1061",14123286,37
"1062",14125902,66
"1063",14126341,4
"1064",14127263,23
"1065",14129835,76
"1066",14129986,173
"1067",14131561,0
"1068",14131698,10
"1069",14131752,88
"1070",14132300,131
"1071",14136172,3
"1072",14137519,1
"1073",14137871,47
"1074",14137950,7
"1075",14139012,3
"1076",14141702,165
"1077",14141751,5
"1078",14141955,42
"1079",14145045,21
"1080",14146736,17
"1081",14146874,3
"1082",14149095,29
"1083",14150373,18
"1084",14155854,11
"1085",14156079,58
"1086",14157742,3
"1087",14157901,56
"1088",14159395,19
"1089",14160063,140
"1090",14161673,40
"1091",14162366,16
"1092",14165012,11
"1093",14165738,31
"1094",14165743,20
"1095",14166282,40
"1096",14167499,28
"1097",14167563,10
"1098",14168109,23
"1099",14168392,17
"1100",14169798,26
"1101",14171212,66
"1102",14171727,6
"1103",14174829,51
"1104",14175279,0
"1105",14176988,5
"1106",14178164,69
"1107",14178532,102
"1108",14179241,14
"1109",14179338,23
"1110",14180697,5
"1111",14181791,27
"1112",14182503,1
"1113",14182816,10
"1114",14184291,50
"1115",14187093,24
"1116",14187147,73
"1117",14187213,80
"1118",14193537,17
"1119",14193891,16
"1120",14196524,9
"1121",14197132,7
"1122",14197419,32
"1123",14197839,29
"1124",14200434,52
"1125",14206804,0
"1126",14209845,48
"1127",14209950,21
"1128",14210814,1
"1129",14210834,6
"1130",14211450,84
"1131",14214830,40
"1132",14216280,49
"1133",14216824,20
"1134",14217590,33
"1135",14221275,79
"1136",14221619,2
"1137",14222648,5
"1138",14223409,38
"1139",14225391,29
"1140",14225547,1
"1141",14228053,1
"1142",14230795,5
"1143",14235819,50
"1144",14236667,36
"1145",14237078,43
"1146",14238218,12
"1147",14239514,33
"1148",14241862,6
"1149",14242102,18
"1150",14243596,15
"1151",14245250,25
"1152",14245370,45
"1153",14246017,59
"1154",14247737,0
"1155",14249027,52
"1156",14249476,0
"1157",14250140,63
"1158",14250984,13
"1159",14252569,26
"1160",14253134,16
"1161",1408775,73
"1162",1408962,57
"1163",1409915,0
"1164",1410063,7
"1165",1411966,26
"1166",1412494,31
"1167",1412761,9
"1168",1413773,7
"1169",1414107,20
"1170",1414697,1
"1171",1418184,4
"1172",1423252,0
"1173",1423475,0
"1174",1424302,50
"1175",1425305,44
"1176",1426899,8
"1177",1427202,43
"1178",1427584,26
"1179",1428112,34
"1180",1429527,0
"1181",14257841,85
"1182",14258266,20
"1183",14258700,39
"1184",14259212,4
"1185",14261222,2
"1186",14261813,5
"1187",14263109,9
"1188",14263947,44
"1189",14264636,19
"1190",14265453,81
"1191",14266257,18
"1192",14267037,74
"1193",14267737,1
"1194",14268661,15
"1195",14270320,2
"1196",14270796,22
"1197",14274636,212
"1198",14275108,1
"1199",14276148,13
"1200",14279745,131
"1201",14281874,84
"1202",14283635,57
"1203",14283779,30
"1204",14287338,27
"1205",14287787,2
"1206",14290904,3
"1207",14292310,24
"1208",14294927,6
"1209",14300131,59
"1210",14303559,90
"1211",14307720,3
"1212",14310372,58
"1213",14311463,2
"1214",14313029,54
"1215",14313502,11
"1216",14315062,5
"1217",14315795,91
"1218",14318195,24
"1219",14322466,42
"1220",14323701,0
"1221",14324959,4
"1222",14327331,13
"1223",14330334,0
"1224",14331612,54
"1225",14332700,37
"1226",14336655,133
"1227",14337903,35
"1228",14338536,39
"1229",14338791,4
"1230",14341755,0
"1231",14342157,3
"1232",14343454,5
"1233",14347701,10
"1234",14347972,5
"1235",14348773,10
"1236",14353989,20
"1237",14355945,21
"1238",14359134,19
"1239",14360056,90
"1240",14363194,170
"1241",14364806,36
"1242",14374234,6
"1243",14374514,51
"1244",14376572,21
"1245",14380085,17
"1246",14382834,67
"1247",14383269,118
"1248",14383722,103
"1249",14383898,50
"1250",14384163,30
"1251",14384763,31
"1252",14386979,109
"1253",14389475,127
"1254",14394842,69
"1255",14396612,7
"1256",14400083,0
"1257",14400981,110
"1258",14401042,24
"1259",14403050,35
"1260",14403348,98
"1261",14404486,30
"1262",14410228,2
"1263",14411972,49
"1264",14413028,96
"1265",14413367,27
"1266",14413430,81
"1267",14416929,161
"1268",14417785,145
"1269",14421181,137
"1270",14421620,5
"1271",14422049,154
"1272",14422133,63
"1273",14422496,113
"1274",14422993,1
"1275",14423682,21
"1276",14424988,29
"1277",14425363,103
"1278",14426319,22
"1279",14431335,3
"1280",14435990,0
"1281",14436436,87
"1282",14436772,15
"1283",14438176,85
"1284",14439640,3
"1285",14440408,1
"1286",14441515,5
"1287",14443038,75
"1288",14444514,0
"1289",14447509,0
"1290",14447999,118
"1291",14448035,14
"1292",14449768,104
"1293",14454059,10
"1294",14454794,204
"1295",14455043,4
"1296",14455304,0
"1297",14455875,17
"1298",14457365,34
"1299",14459224,49
"1300",14460518,66
"1301",14460965,2
"1302",14463511,39
"1303",14463573,73
"1304",14463587,28
"1305",14466556,44
"1306",14468961,20
"1307",14468998,24
"1308",14469349,15
"1309",14470913,63
"1310",14472797,32
"1311",14474985,45
"1312",14475917,1
"1313",14476490,30
"1314",14476739,12
"1315",14479094,82
"1316",14480974,5
"1317",14481625,18
"1318",14481796,10
"1319",14484021,3
"1320",14485502,57
"1321",14487274,34
"1322",14487491,19
"1323",14488150,11
"1324",14488278,19
"1325",14490398,5
"1326",14491555,81
"1327",14494275,232
"1328",14495165,10
"1329",14495302,4
"1330",14496298,1
"1331",14501508,0
"1332",14502467,62
"1333",14502590,8
"1334",14504279,10
"1335",14505445,2
"1336",14505968,0
"1337",14506474,0
"1338",14507590,18
"1339",14507910,4
"1340",14508038,1
"1341",14508859,2
"1342",14510390,12
"1343",14510404,30
"1344",14514651,61
"1345",14516771,15
"1346",14518387,29
"1347",14519333,17
"1348",14520216,57
"1349",14520899,50
"1350",14522754,8
"1351",14522958,73
"1352",14524373,20
"1353",14525085,9
"1354",14526697,1
"1355",14526927,73
"1356",14527670,160
"1357",14528441,0
"1358",14528486,10
"1359",14529421,29
"1360",14529475,7
"1361",14530378,33
"1362",14530535,63
"1363",14530630,8
"1364",14530849,0
"1365",14531331,8
"1366",14531332,0
"1367",14531948,126
"1368",14532071,0
"1369",14532750,1
"1370",14533008,2
"1371",14533277,86
"1372",14533299,104
"1373",14533432,1
"1374",14535182,2
"1375",14535427,82
"1376",14535643,1
"1377",14535752,11
"1378",14537375,73
"1379",14538966,79
"1380",14539037,0
"1381",1431450,22
"1382",1432130,241
"1383",1436473,7
"1384",1437026,16
"1385",1437373,87
"1386",1437472,143
"1387",1437909,11
"1388",1438665,3
"1389",1439145,23
"1390",1439772,2
"1391",1439917,0
"1392",1442040,32
"1393",1442547,22
"1394",1444018,43
"1395",1445068,1
"1396",1446490,17
"1397",1449666,80
"1398",1450864,18
"1399",1451393,10
"1400",1451402,1
"1401",14539421,0
"1402",14540341,22
"1403",14540387,1
"1404",14540958,2
"1405",14542214,30
"1406",14543157,0
"1407",14543454,3
"1408",14545279,6
"1409",14545633,23
"1410",14547027,31
"1411",14548598,1
"1412",14548686,22
"1413",14550284,3
"1414",14552590,3
"1415",14553770,1
"1416",14553888,43
"1417",14555289,48
"1418",14555399,3
"1419",14556018,0
"1420",14556257,4
"1421",14556595,0
"1422",14558061,0
"1423",14558151,0
"1424",14558891,11
"1425",14559172,7
"1426",14560465,2
"1427",14562415,45
"1428",14563338,1
"1429",14563361,9
"1430",14564394,3
"1431",14564729,2
"1432",14566950,1
"1433",14567292,0
"1434",14567855,7
"1435",14569706,1
"1436",14570674,1
"1437",14570838,30
