"UPC","n_weeks","rel_freq","DESCRIP"
3000001040,304,1.0,"QUAKER OLD FASHIONED"
3000001200,304,1.0,"QUICK QUAKER OATS"
1313006025,303,0.9967105263157895,"MIX N EAT CREAM OF W"
3000001020,303,0.9967105263157895,"QUAKER OATS REGULAR"
3000007060,303,0.9967105263157895,"QUAKER HOT OAT BRAN"
1313000612,302,0.993421052631579,"CREAM OF WHEAT QUICK"
3000001210,302,0.993421052631579,"QUAKER INSTANT OATME"
3000004170,301,0.9901315789473685,"QUAKER Q/W HOMINY GR"
1800063070,300,0.9868421052631579,"PILS FARINA"
3000001180,300,0.9868421052631579,"QUICK QUAKER OATS"
3000001380,300,0.9868421052631579,"QUAKER INST OATML AP"
3000001240,299,0.9835526315789473,"QUAKER INST OATML RS"
3000001880,299,0.9835526315789473,"QUAKER FRUIT & CREAM"
3000002190,299,0.9835526315789473,"KRETSCHMER WHEAT GER"
1313000622,298,0.9802631578947368,"CREAM OF WHEAT INSTA"
3000001460,296,0.9736842105263158,"QUAKER OAT VARIETY"
3000001190,295,0.9703947368421053,"QUAKER INST OATML MP"
3000001800,288,0.9473684210526315,"QUAKER INST OATML PE"
4240000105,284,0.9342105263157895,"QUICK MALT O MEAL"
1313006057,279,0.9177631578947368,"INST CRM OF WHT-VARI"
3000001340,278,0.9144736842105263,"QUAKER OATMEAL CINNA"
3000004760,265,0.8717105263157895,"QUAKER INSTANT GRITS"
1313000698,262,0.8618421052631579,"NABISCO CREAM OF RIC"
3000001760,262,0.8618421052631579,"QUAKER VRTY INST OAT"
3000001820,262,0.8618421052631579,"QUAKER INSTANT STRAW"
1313000602,261,0.8585526315789473,"NABISCO CREAM OF WHT"
3000002350,238,0.7828947368421053,"KRETCHMER HONEY WHT"
1313006035,232,0.7631578947368421,"~MIX N EAT BROWN SUG"
3000001570,218,0.7171052631578947,"~QUAKER MAPLE OATMEA"
3828125073,182,0.5986842105263158,"DOM QUICK OATS"
3828125077,182,0.5986842105263158,"DOM QUICK OATS"
3828125081,171,0.5625,"DOM INSTANT OATMEAL"
3828125098,171,0.5625,"DOM INSTANT OATMEAL"
3828125085,170,0.5592105263157895,"DOM INSTANT OATMEAL"
3000002620,159,0.5230263157894737,"$QUAKER KIDS CHOICE"
1313006053,130,0.4276315789473684,"~MIX N EAT BROWN SUG"
3000001580,115,0.3782894736842105,"QUAKER APPLE CINAMON"
3000003790,102,0.3355263157894737,"QUAKER INSTANT GRITS"
3000002390,97,0.3190789473684211,"~QUAKER MULTIGRAIN"
1313006031,92,0.3026315789473684,"CRM OF WHT INST APPL"
3828125105,88,0.2894736842105263,"DOM APPLE & CINNAMON"
1313006058,78,0.2565789473684211,"~INS CREAM OF WHEAT-"
3000002720,75,0.24671052631578946,"KRETCHMER TOASTED WH"
1112600328,74,0.24342105263157895,"COCO WHEATS"
3000002300,72,0.23684210526315788,"~KIDS CHOICE STRWBRY"
3000001370,57,0.1875,"QUAKER INST OAT-HONE"
3000001350,54,0.17763157894736842,"QUAKER INST OAT & CI"
3000001700,48,0.15789473684210525,"QUAKER MAPLE BR SGR"
3000001000,44,0.14473684210526316,"QUAKER VARIETY OATCU"
3000001590,43,0.14144736842105263,"QUAKER OAT CUPS RAIS"
6414408037,38,0.125,"MAYPO MAPLE FLAVORED"
1112600399,37,0.12171052631578948,"COCO WHEATS PREPRICE"
3000026288,36,0.11842105263157894,"QUAKER QK N HEARTY R"
1112600301,32,0.10526315789473684,"COCO WHEATS"
1313006044,31,0.10197368421052631,"NABISCO INSTANT BANA"
3000026286,31,0.10197368421052631,"QUAKER COOKIE BLAST-"
3000026289,30,0.09868421052631579,"QUAKER QK N HRTY BRW"
1313006024,28,0.09210526315789473,"~INSTANT CREAM OF WH"
3000026287,28,0.09210526315789473,"QUAKER QUICK N HEART"
7382550020,27,0.08881578947368421,"FFDS CRAN/OAT HOT CE"
7382550022,25,0.08223684210526316,"FANTASTIC FOODS BANA"
1800063061,21,0.06907894736842106,"~PILLS FARINA APPLES"
1313006050,19,0.0625,"~CRM OF WHT INST GRA"
3000002360,17,0.05592105263157895,"QUAKER OATS PLUS FIB"
7382550019,16,0.05263157894736842,"FANTASTIC FDS APPLE"
3000002380,12,0.039473684210526314,"QUAKER OATS FIBER RA"
1600064040,11,0.03618421052631579,"TOTAL INST OATMEAL-R"
1600064060,11,0.03618421052631579,"TOTAL OATMEAL VARIET"
6414408004,11,0.03618421052631579,"WHEATENA"
1600064030,10,0.03289473684210526,"TOTAL QUICK OATMEAL-"
1600064070,10,0.03289473684210526,"TOTAL OATMEAL MAPLE/"
1600065240,10,0.03289473684210526,"OATMEAL SWIRLER MAPL"
1600065450,7,0.023026315789473683,"TOTAL OATMEAL SWLR V"
1600062870,4,0.013157894736842105,"UNDERCOVER BEARS STR"
1600065460,4,0.013157894736842105,"OATMEAL SWIRLERS STR"
1600062880,3,0.009868421052631578,"UNDERCOVER BEARS MPL"
1600062890,3,0.009868421052631578,"UNDERCOVER BEAR VARI"
3000003960,3,0.009868421052631578,"QUAKER INST GRITS DI"
