"STORE","n_upcs","median_cv","mean_cv","median_range_ratio"
2,78,0.0776868794871372,0.0786884727964786,1.45226130653266
5,75,0.0806497640825393,0.0839781569351247,1.4321608040201
8,88,0.072482520041814,0.0746538978320101,1.3945534122224
9,86,0.0841440345762985,0.0805972914184145,1.46560846560847
12,92,0.0777437127002897,0.0768429389057918,1.43943751997443
14,81,0.0900658439930879,0.0846484666538821,1.63316582914573
18,78,0.0853649961110932,0.0808868772257987,1.4490349474646
21,84,0.0795626095281418,0.0717876581550856,1.37593510072839
28,75,0.0873361016377872,0.086196840396823,1.68341708542714
32,91,0.0847690798130525,0.0832392394643059,1.43617021276596
33,63,0.0888874759985594,0.0912228490288616,1.63316582914573
40,87,0.0854488061494908,0.0770381831693227,1.33440514469453
44,90,0.069515707939423,0.0645537690669908,1.32546411483254
45,65,0.0708882320352949,0.0776887616520705,1.42328042328042
47,76,0.0810967882776159,0.0774367206047848,1.63316582914573
48,67,0.0861560352352434,0.0867339304636347,1.66
49,65,0.0796969074943309,0.0884836635793484,1.45226130653266
50,53,0.0580818457806455,0.0685921606647155,1.328173374613
51,87,0.0767157623629887,0.0757623882482858,1.41624365482234
52,85,0.0869062470439067,0.0853238312718646,1.50251256281407
53,76,0.0835988229412594,0.0821661301021131,1.63316582914573
54,83,0.0746046312919283,0.0688446780503847,1.38709677419355
56,74,0.0856916997469535,0.0827537374457231,1.57859164819732
59,84,0.0673007964817477,0.0624718043693562,1.33379928315412
62,80,0.0797026422881185,0.0765144145106149,1.63316582914573
64,62,0.0650270192058817,0.0798494717080921,1.40206322618383
67,83,0.0843969750934577,0.0763010734006068,1.45226130653266
68,78,0.0903497843493049,0.0829169697768622,1.63316582914573
70,88,0.0702315834458885,0.0695649596224147,1.63354720028715
71,82,0.0784512920599026,0.0770789012568236,1.388
72,75,0.0904996197249876,0.0896414678969931,1.63316582914573
73,89,0.074462835428685,0.0760479647617957,1.38709677419355
74,89,0.0761112595245099,0.0722804071645512,1.40201005025126
75,84,0.0817227088962943,0.0852887687471049,1.48935151950227
76,84,0.075174816909427,0.0773123634451347,1.45226130653266
77,81,0.0709415522736975,0.068092527288928,1.44578313253012
78,79,0.0928718393145506,0.0853451908588935,1.63316582914573
80,81,0.0836102568862161,0.07545583586877,1.39247311827957
81,78,0.0806542931916429,0.0779134114352677,1.63316582914573
83,91,0.0820881552220874,0.0747573391713867,1.37942122186495
84,85,0.0824576959433369,0.0772304180451092,1.43181818181818
86,76,0.0857014510372695,0.0802570083088435,1.63316582914573
88,77,0.0825649064082555,0.0795807726211888,1.58291457286432
89,82,0.0824456875508094,0.0754995859346014,1.41708542713568
90,86,0.0823814259269391,0.079841112826525,1.47534013605442
91,88,0.0823425736194866,0.0783898240282315,1.41264523676584
92,85,0.0613008764051888,0.0685530676060833,1.29721362229102
93,84,0.0791838762156783,0.0832762869010172,1.63316582914573
94,80,0.0845230757419719,0.0868585438533042,1.63316582914573
95,79,0.079791342028855,0.0795711670770476,1.50251256281407
97,70,0.0596857147997656,0.0668118031345181,1.20433436532508
98,86,0.0794103495074182,0.0765952315073645,1.3743842364532
100,88,0.0739506731260616,0.0800468507573748,1.37738755980861
101,88,0.077375605782816,0.0736382371424815,1.61817021616017
102,86,0.0781882740389931,0.0722825852473061,1.35163344051447
103,84,0.0867725566276319,0.080516811153365,1.40585835569113
104,85,0.0812331036872063,0.0787068385091588,1.40201005025126
105,93,0.074172266012611,0.077649748801188,1.3758389261745
106,88,0.0795320079808718,0.0754230089948797,1.3945534122224
107,86,0.0773782544353041,0.0762587499239912,1.45762951645305
109,86,0.0851350277641683,0.0808730608527192,1.50251256281407
110,87,0.0865385791163999,0.080406712145351,1.45226130653266
111,84,0.072280560855265,0.0710419410475893,1.39272984168781
112,87,0.0773426958876887,0.0708213926351284,1.356
113,88,0.0838064729645618,0.0749868529027344,1.43786534714388
114,89,0.0694860193676268,0.0722554595651643,1.372
115,89,0.0738997952144125,0.0725155136645062,1.356
116,83,0.0812015954513582,0.0768043785197165,1.58291457286432
117,70,0.0782025280178704,0.0812229923157831,1.59633165829146
118,64,0.079162327518287,0.0882289458928009,1.60319285104769
119,77,0.0880289942985654,0.0807254068438555,1.63316582914573
121,86,0.0699249827356221,0.0743053957839199,1.356
122,90,0.0810917880413168,0.0701199893923499,1.33440514469453
123,87,0.0827950874839405,0.0825991217988561,1.50251256281407
124,90,0.0761297755511434,0.0763768483606132,1.388
126,91,0.0726181030768656,0.0749656015332942,1.35542168674699
128,81,0.0899378670712906,0.0783899914156106,1.47619047619048
129,87,0.0745896705730096,0.0746134912213079,1.356
130,86,0.0747885307121204,0.0745385376735665,1.38
131,88,0.0830574091541937,0.0759522721939435,1.38323424212995
132,92,0.072758153314417,0.0706223441190209,1.36106458217011
133,74,0.0840562164196747,0.0880301635622142,1.63316582914573
134,90,0.0824464586914397,0.077847277632544,1.36704823333451
135,50,0.0291407588305191,0.0419786743609383,1.07919152791228
136,76,0.0885933236548364,0.0878674578862656,1.45908519872088
137,85,0.0816592862102601,0.0841258915569607,1.4375
139,72,0.0822039611325356,0.0844906467805687,1.64142367890407
140,49,0.0301598518524846,0.042619603975167,1.07434944237918
141,48,0.0309731799371352,0.0351713718168847,1.08403361344538
142,48,0.0319231044542264,0.0525326342002577,1.15013420217881
143,49,0.0286087909930725,0.0512827690749439,1.09745762711864
144,49,0.0286087909930725,0.0519183439414697,1.08823529411765
146,48,0.0205861451505281,0.0405100770870083,1.08403361344538
