"UPC","n_weeks","avg_share_when_offered","DESCRIP","rank","cum_share","cum_share_norm"
3000001180,300,0.122033679923391,"QUICK QUAKER OATS",1,0.122033679923391,0.0777897005009104
3000001020,303,0.0790376526282825,"QUAKER OATS REGULAR",2,0.201071332551674,0.128171819028425
3000001210,302,0.0543929809164169,"QUAKER INSTANT OATME",3,0.255464313468091,0.162844326630392
3000004170,301,0.0502033687198487,"QUAKER Q/W HOMINY GR",4,0.30566768218794,0.194846188897476
3000001200,304,0.0461861353109864,"QUICK QUAKER OATS",5,0.351853817498926,0.224287287743234
3000001190,295,0.0441444701790104,"QUAKER INST OATML MP",6,0.395998287677936,0.252426938339302
3000001040,304,0.042521723855912,"QUAKER OLD FASHIONED",7,0.438520011533848,0.279532178184649
3828125073,182,0.0340879741627618,"DOM QUICK OATS",8,0.47260798569661,0.301261370506544
3000003960,3,0.0309547397047397,"QUAKER INST GRITS DI",9,0.50356272540135,0.320993299693855
3000001460,296,0.0301110754087758,"QUAKER OAT VARIETY",10,0.533673800810126,0.340187439699135
3000001380,300,0.0299945614755216,"QUAKER INST OATML AP",11,0.563668362285647,0.359307308536178
3828125085,170,0.0276399958258121,"DOM INSTANT OATMEAL",12,0.591308358111459,0.376926272403252
3000007060,303,0.0272729519475077,"QUAKER HOT OAT BRAN",13,0.618581310058967,0.394311266161567
1313000612,302,0.0260429849318586,"CREAM OF WHEAT QUICK",14,0.644624294990826,0.410912224186194
3000001880,299,0.0253752304592709,"QUAKER FRUIT & CREAM",15,0.669999525450097,0.427087525781683
1800063070,300,0.0250887763745453,"PILS FARINA",16,0.695088301824642,0.443080228790684
1313006025,303,0.0247563405992322,"MIX N EAT CREAM OF W",17,0.719844642423874,0.458861022436518
3000002190,299,0.0247404309819672,"KRETSCHMER WHEAT GER",18,0.744585073405841,0.474631674584014
3828125098,171,0.0232477675827897,"DOM INSTANT OATMEAL",19,0.767832840988631,0.489450836627765
3000004760,265,0.0226992639215894,"QUAKER INSTANT GRITS",20,0.79053210491022,0.503920358018581
3000001240,299,0.022216044449797,"QUAKER INST OATML RS",21,0.812748149360017,0.518081853805232
1600064040,11,0.0217627333413723,"TOTAL INST OATMEAL-R",22,0.83451088270139,0.531954388910043
3000002360,17,0.0214018466568798,"QUAKER OATS PLUS FIB",23,0.85591272935827,0.545596878775548
3828125081,171,0.0209591355741343,"DOM INSTANT OATMEAL",24,0.876871864932404,0.558957164887492
3828125077,182,0.0200328803571184,"DOM QUICK OATS",25,0.896904745289522,0.571727014687392
3000001700,48,0.0199954530267609,"QUAKER MAPLE BR SGR",26,0.916900198316283,0.584473006640664
3828125105,88,0.0193509122497683,"DOM APPLE & CINNAMON",27,0.936251110566051,0.59680813960784
1313006035,232,0.0187598573041768,"~MIX N EAT BROWN SUG",28,0.955010967870228,0.608766507839036
3000001340,278,0.0184271433403898,"QUAKER OATMEAL CINNA",29,0.973438111210618,0.620512789377347
3000001800,288,0.0181647097757648,"QUAKER INST OATML PE",30,0.991602820986383,0.63209178407807
1600065240,10,0.0180860096907277,"OATMEAL SWIRLER MAPL",31,1.00968883067711,0.643620611840876
3000001350,54,0.0177135916662763,"QUAKER INST OAT & CI",32,1.02740242234339,0.654912043774914
