"UPC","DESCRIP","SIZE","NITEM","n_occasions","occ_share","total_move","avg_price"
3000026288,"QUAKER QK N HEARTY R","10.2 O",2501081,3140,0.127135800469674,20090,3.10232484076433
3000026286,"QUAKER COOKIE BLAST-","14.8 O",2522021,3125,0.126528463843226,16429,3.0859808
3000026289,"QUAKER QK N HRTY BRW","14.8 O",2501111,3098,0.125435257915621,21436,3.09930277598451
3000026287,"QUAKER QUICK N HEART","15.2 O",2501071,3057,0.123775204469998,17830,3.09732090284593
1800063061,"~PILLS FARINA APPLES","28 OZ",2517631,3012,0.121953194590655,7253,2.29099601593625
3000004430,"QUAKER INSTANT GRITS","11.2 O",2501290,2812,0.113855372904689,13118,1.83562588904694
1313006044,"NABISCO INSTANT BANA","11.2 O",2516611,2509,0.101587173050449,21032,3.3040414507772
1313006050,"~CRM OF WHT INST GRA","12.1 O",2516731,2299,0.0930844602801846,4899,3.20216180948238
7382550022,"FANTASTIC FOODS BANA","1.6 OZ",2517040,1924,0.0779010446189975,5748,1.26300415800416
3574215185,"HEALTH VALLEY FIBER","12.5 O",2500640,1917,0.0776176208599887,3272,3.22891497130934
7382550020,"FFDS CRAN/OAT HOT CE","1.9 OZ",2517020,1744,0.0706130051016277,4889,1.26303899082569
3000002360,"QUAKER OATS PLUS FIB","19 OZ",2500621,1403,0.0568062191270548,4608,2.18791874554526
7382550019,"FANTASTIC FDS APPLE","1.9 OZ",2517060,1332,0.0539314924285367,3764,1.26242492492492
3574215180,"HEALTH VLY FRT & FTN","14 OZ",2500590,1329,0.0538100251032472,2054,3.54751693002257
3000002380,"QUAKER OATS FIBER RA","12.8 O",2500611,1255,0.0508138310794396,2403,2.86396015936255
3000001770,"QUAKER INST FRUIT/CR","18.3 O",2522560,1224,0.0495586687181148,6300,3.38885620915033
3000026135,"QUAKR POWR RNGRS INS","11.2 O",9825271,1203,0.0487083974410883,3117,3.04092269326683
7151801023,"HODGSON MILLS APL CI","16 OZ",2500570,1147,0.0464410073690177,2123,1.94615518744551
7276201213,"FAMILIA","12 OZ",2504030,960,0.0388695440926391,2260,2.63390625
1112600301,"COCO WHEATS","21 OZ",2519001,864,0.0349825896833752,2237,1.7530787037037
1600064040,"TOTAL INST OATMEAL-R","10 OZ",2504701,789,0.0319459065511377,3170,2.07524714828897
1600064060,"TOTAL OATMEAL VARIET","10.5 O",2504841,749,0.0303263422139444,2399,2.07476635514019
1600064030,"TOTAL QUICK OATMEAL-","15 OZ",2504801,728,0.029476070936918,2065,1.75737637362637
1600064070,"TOTAL OATMEAL MAPLE/","12 OZ",2504821,670,0.0271277026479877,2115,2.07311940298507
1600065240,"OATMEAL SWIRLER MAPL","12.8 O",2504921,600,0.0242934650578994,1835,2.60995
1600062870,"UNDERCOVER BEARS STR","12.6 O",2508301,385,0.0155883067454855,917,2.61615584415584
1600062890,"UNDERCOVER BEAR VARI","12.7 O",2508281,363,0.0146975463600292,876,2.61479338842975
1600065460,"OATMEAL SWIRLERS STR","12.8 O",2508341,343,0.0138877641914325,1095,2.6068804664723
1600065450,"TOTAL OATMEAL SWLR V","13.3 O",2504861,327,0.0132399384565552,1302,2.61336391437309
1600062880,"UNDERCOVER BEARS MPL","12.6 O",2508321,309,0.0125111345048182,588,2.6162783171521
7235900007,"""COTTONTAILS"" SNO-BA","3 OZ",35050,105,0.0042513563851324,5800,0.59
3000003960,"QUAKER INST GRITS DI","40 OZ",9825251,99,0.0040084217345534,4748,0.491313131313131
7235900070,"""SHAMROCK"" SNO-BALLS","3 OZ",35010,94,0.00380597619240424,9725,0.565957446808511
3574215186,"HV OAT BRAN FLAKES W","12.5 O",2503380,79,0.00319863956595676,291,3.59
3000003390,"QUAKER INST GRITS DI","40 OZ",9825251,61,0.00246983561421977,2989,0.497049180327869
4641856835,"MACKINLAY COUSCOUS B","12 OZ",960440,42,0.00170054255405296,77,1.99
