r_id,r_gender,r_age,r_educ,r_income,r_party,r_strength,r_lean,condition,profile,cage,cparty,chealthcare,cmarriage,pref,rate,partisan,cpartyp,cmarriagep,chealthcarep,cagep,cvacationm,crelativem,chighwaym,cschoolm,cmaritalm,cdogm,cweddingm,cicecreamm,celectionm,cvotem,ctripm,cstonem,cclassm,cdinosaurm,creportm,cdaybornm,cfavcolorm,cyearbornm,cnamem,cfoodm,cbirthdaym,cclassroomm,cbaseballm,cbeveragem,cseasonm,ctreem,ccomposerm,caddressm,cdoorm,ccarcolorm,cteamm,cemailm,cshopm,cwarm,cgrandm,wave
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,I2,3,2,2,2,0,3,1,1,1,1,3,0,4,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,J1,2,1,2,1,1,6,1,2,2,1,2,0,4,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,J2,3,1,1,1,0,4,1,2,2,2,3,0,1,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,K1,2,1,1,2,0,3,1,2,1,2,2,0,2,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,K2,2,2,2,2,1,4,1,1,1,1,2,0,2,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,L1,1,2,1,1,0,4,1,1,2,2,1,0,4,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,L2,3,2,1,1,1,4,1,1,2,2,3,0,2,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,M1,1,2,2,2,0,2,1,1,1,1,1,0,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,M2,3,1,1,1,1,4,1,2,2,2,3,0,3,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,N1,3,2,1,2,0,1,1,1,1,2,3,0,4,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,N2,2,1,2,1,1,6,1,2,2,1,2,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,O1,1,1,1,2,0,1,1,2,1,2,1,0,2,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_3HzSq8I3GO0rw2W,1,37,4,3,2,1,NA,3,O2,1,2,2,2,1,4,1,1,1,1,1,0,3,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,A1,2,2,2,2,0,1,1,1,1,1,2,2,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,A2,3,1,2,1,1,5,1,2,2,1,3,4,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,B1,3,1,1,1,1,6,1,2,2,2,3,2,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,B2,1,2,1,1,0,3,1,1,2,2,1,4,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,C1,3,1,1,1,1,5,1,2,2,2,3,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,C2,3,2,2,1,0,2,1,1,2,1,3,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,D1,2,2,1,1,1,4,1,1,2,2,2,2,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,D2,1,1,2,2,0,1,1,2,1,1,1,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
