"r_id","r_gender","r_age","r_educ","r_income","r_party","r_strength","r_lean","profile","access","balcony","bar","boats","call","cars","cfloor","cfurniture","channels","chocolate","cinternet","closet","coffee","color","cview","decor","door","elevators","fan","flooring","food","hallway","hours","kitchen","lamps","lights","linens","menu","office","parking","pillows","scent","service","shower","sinks","size","theme","thermo","towels","tv","valet","windows"
"R_0026y2JPl761Aat",1,61,5,3,3,NA,-1,1,1,2,3,1,1,3,3,2,1,4,1,1,1,3,2,1,1,2,1,1,1,1,1,3,2,2,1,2,2,1,4,1,3,1,2,1,2,3,1,1,1,2
"R_0026y2JPl761Aat",1,61,5,3,3,NA,-1,2,1,2,3,1,1,3,2,2,1,4,1,1,1,3,2,1,1,2,1,1,1,1,1,3,2,2,1,2,2,1,4,1,3,1,2,1,2,3,1,1,1,2
"R_0026y2JPl761Aat",1,61,5,3,3,NA,-1,3,1,2,3,2,1,3,3,2,1,4,1,1,1,3,1,1,1,2,1,1,1,1,1,3,2,2,1,2,2,1,4,1,3,1,2,1,2,3,1,1,1,2
"R_009t5PzAFrfnXSV",1,31,3,2,2,1,NA,1,1,1,3,2,2,2,1,2,3,3,2,2,1,3,1,1,3,1,1,1,1,3,1,3,2,2,1,1,1,3,3,1,4,3,2,1,3,3,1,1,1,1
"R_009t5PzAFrfnXSV",1,31,3,2,2,1,NA,2,2,1,1,1,1,2,3,1,3,1,1,2,1,4,2,1,3,1,1,1,4,1,2,3,2,2,2,1,2,3,3,3,3,1,2,2,3,2,1,1,2,1
"R_009t5PzAFrfnXSV",1,31,3,2,2,1,NA,3,2,1,3,1,2,1,3,1,1,4,1,1,1,4,2,1,3,2,1,1,1,3,3,2,2,2,1,1,2,3,4,1,4,3,2,2,1,2,1,1,1,1
"R_009xqNzL37JnnPz",1,46,5,4,3,NA,0,1,3,2,2,2,2,1,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,2,3,2,1,1,2,3,3,3,4,3,2,1,3,4,1,1,2,2
"R_009xqNzL37JnnPz",1,46,5,4,3,NA,0,2,2,1,3,1,1,1,1,2,1,4,2,1,3,4,2,1,2,1,1,2,1,3,1,2,3,2,2,1,2,2,3,1,4,3,2,1,2,3,1,1,2,1
"R_009xqNzL37JnnPz",1,46,5,4,3,NA,0,3,3,2,3,1,1,1,2,2,1,4,2,2,2,1,2,1,2,1,1,3,1,1,1,2,3,1,1,2,2,2,3,1,4,3,2,1,1,3,1,1,2,2
"R_00wCwoj9f35ettn",1,38,4,5,3,NA,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,4,2,2,1,1,2,1,1,1,3,3,1,2,2,1,2,2,4,1,4,1,2,2,2,3,2,1,1,2
"R_00wCwoj9f35ettn",1,38,4,5,3,NA,1,2,1,2,3,2,2,1,3,2,1,1,1,2,1,4,1,2,1,1,1,1,1,3,1,3,1,2,2,1,2,1,3,3,4,1,2,1,3,3,2,1,1,2
"R_00wCwoj9f35ettn",1,38,4,5,3,NA,1,3,1,2,3,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,3,1,2,2,1,2,1,3,3,4,1,2,2,3,3,2,1,1,2
"R_01iDRrH6JXik4g1",2,44,4,5,3,NA,0,1,3,2,3,2,2,2,2,1,1,4,1,2,1,3,1,2,2,2,1,1,1,2,1,3,1,2,3,1,1,2,3,1,4,1,2,2,3,1,1,1,2,2
"R_01iDRrH6JXik4g1",2,44,4,5,3,NA,0,2,1,1,2,2,2,2,3,2,2,2,1,1,1,1,1,2,2,2,1,1,1,3,1,1,1,2,3,1,2,2,4,3,4,2,1,1,3,1,1,2,2,2
"R_01iDRrH6JXik4g1",2,44,4,5,3,NA,0,3,1,1,3,2,2,2,3,2,2,2,1,1,1,1,1,2,2,2,2,1,1,3,1,1,1,2,3,1,2,2,4,3,4,2,1,1,3,1,1,2,2,2
"R_01m17n5ytRS8bL3",2,38,5,3,3,NA,-1,1,2,1,2,1,2,3,2,2,3,2,1,2,1,2,2,1,2,2,1,1,1,1,3,3,3,1,1,1,2,1,2,3,3,4,2,3,2,1,2,1,1,2
"R_01m17n5ytRS8bL3",2,38,5,3,3,NA,-1,2,1,2,3,1,1,1,3,2,1,4,1,1,2,3,2,3,1,1,1,1,1,1,1,1,2,2,3,1,2,2,1,1,4,1,2,2,3,3,1,1,2,2
"R_01m17n5ytRS8bL3",2,38,5,3,3,NA,-1,3,1,2,2,2,1,3,2,2,1,4,1,2,1,1,2,2,1,2,1,1,1,3,1,1,2,2,3,2,2,3,3,1,4,1,2,3,2,2,2,1,2,2
"R_06aTZNc3csz0vHX",1,45,5,1,2,1,NA,1,1,1,3,2,2,2,3,2,1,4,2,2,1,4,1,2,1,1,2,1,1,1,1,2,3,2,2,1,2,1,2,3,4,1,2,1,2,2,1,1,1,1
"R_06aTZNc3csz0vHX",1,45,5,1,2,1,NA,2,1,2,3,2,1,3,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,3,2,2,3,2,2,1,2,3,2,1,4,1,2,2,3,2,2,1,2,2
"R_06aTZNc3csz0vHX",1,45,5,1,2,1,NA,3,1,1,3,1,2,2,1,2,1,1,1,1,1,3,2,2,2,1,2,1,2,1,1,2,3,2,2,1,1,3,2,1,4,1,2,1,3,2,2,1,1,1
"R_06X5gOd9LtR7ZUl",2,25,5,2,2,1,NA,1,1,1,3,1,1,1,2,2,1,4,1,2,1,4,2,2,2,2,2,1,1,3,2,1,1,2,1,1,2,3,3,1,3,2,2,1,3,3,1,1,2,1
"R_06X5gOd9LtR7ZUl",2,25,5,2,2,1,NA,2,1,2,2,1,1,1,3,2,1,2,2,2,3,3,2,1,2,1,2,1,1,2,1,3,1,2,2,2,1,3,3,1,4,1,1,2,3,3,2,2,2,2
"R_06X5gOd9LtR7ZUl",2,25,5,2,2,1,NA,3,3,1,1,2,2,2,2,1,2,3,2,1,2,1,1,2,1,2,1,1,2,1,1,2,3,1,2,2,2,1,1,3,3,2,2,3,2,2,1,2,1,1
"R_08sTahtv6yhVekV",1,28,2,4,3,NA,1,1,3,1,3,1,2,2,2,1,2,2,2,1,3,4,2,1,3,1,1,1,4,3,3,3,1,2,1,1,2,2,3,3,4,2,1,2,3,2,1,1,2,1
"R_08sTahtv6yhVekV",1,28,2,4,3,NA,1,2,1,2,3,1,2,1,1,2,2,1,1,1,1,4,2,2,3,2,2,1,1,2,1,3,1,2,2,1,1,3,3,1,3,2,1,1,3,2,2,2,2,1
"R_08sTahtv6yhVekV",1,28,2,4,3,NA,1,3,1,1,3,1,2,1,1,1,2,2,2,1,2,4,2,3,3,1,1,2,2,3,3,2,1,1,2,2,1,1,2,1,4,4,2,2,1,3,1,2,1,1
"R_08vqDqRIHWJOci5",2,43,1,1,2,1,NA,1,1,1,3,2,1,3,3,1,1,3,1,1,1,4,1,3,2,1,2,1,4,3,3,2,3,2,1,1,2,3,2,1,4,1,2,2,3,1,1,2,1,1
"R_08vqDqRIHWJOci5",2,43,1,1,2,1,NA,2,1,1,3,2,2,3,1,2,2,4,1,2,2,2,1,3,2,1,2,2,2,3,3,2,1,2,1,2,2,1,1,2,2,3,1,1,2,3,1,2,1,1
"R_08vqDqRIHWJOci5",2,43,1,1,2,1,NA,3,2,1,3,1,1,3,3,2,2,2,2,2,1,1,2,3,1,1,2,2,3,3,3,2,3,2,1,2,2,3,4,3,1,1,2,1,1,4,1,1,1,1
"R_09g4xdsiDRp72Ex",1,41,3,4,2,0,NA,1,2,2,3,1,2,1,2,1,2,4,1,1,1,4,2,1,1,1,1,1,1,3,1,2,3,2,1,2,2,3,3,3,4,3,2,3,3,1,1,1,1,1
"R_09g4xdsiDRp72Ex",1,41,3,4,2,0,NA,2,2,1,3,2,2,1,1,2,2,1,1,2,1,2,1,2,2,1,1,1,1,3,1,2,3,2,1,1,2,2,3,3,4,3,2,1,3,2,1,1,1,1
"R_09g4xdsiDRp72Ex",1,41,3,4,2,0,NA,3,2,1,3,1,1,1,1,2,1,1,2,1,1,4,2,2,2,1,1,2,2,3,3,2,3,1,1,1,1,1,4,1,4,2,1,1,2,2,1,1,2,1
"R_0AI7tNYsr27KQoN",1,42,3,3,1,1,NA,1,2,1,3,1,1,1,2,2,1,1,2,2,1,4,2,2,2,1,1,1,1,3,3,2,1,2,1,1,2,3,3,1,1,2,1,1,2,1,1,2,1,1
"R_0AI7tNYsr27KQoN",1,42,3,3,1,1,NA,2,1,2,1,2,2,3,3,1,2,1,1,2,1,3,1,1,1,2,1,2,1,1,2,1,3,2,2,1,2,3,3,1,4,1,2,2,3,1,2,1,2,2
"R_0AI7tNYsr27KQoN",1,42,3,3,1,1,NA,3,1,1,3,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,3,2,3,1,1,1,2,3,3,1,4,3,2,2,2,2,2,2,2,1
"R_0CBY0MsuPGTlRxT",1,53,3,1,2,0,NA,1,2,1,2,1,2,1,2,2,1,4,1,2,1,3,2,2,3,1,1,1,2,1,3,1,1,2,1,2,2,3,1,1,4,1,2,1,3,1,1,1,1,2
"R_0CBY0MsuPGTlRxT",1,53,3,1,2,0,NA,2,3,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,1,1,3,3,1,2,2,1,2,1,1,2,1,4,3,2,2,3,2,1,1,1,1
"R_0CBY0MsuPGTlRxT",1,53,3,1,2,0,NA,3,1,1,1,1,2,1,1,2,2,2,1,2,2,3,2,3,3,1,1,1,3,1,3,2,3,1,1,1,1,1,1,1,4,3,1,1,3,3,1,2,1,1
"R_0DR0hhIkVd1JmUx",2,31,3,2,2,0,NA,1,1,1,3,2,1,2,3,1,2,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,3,4,3,2,2,3,2,2,2,2,1
"R_0DR0hhIkVd1JmUx",2,31,3,2,2,0,NA,2,1,2,2,2,1,1,1,1,1,2,1,1,1,3,1,3,2,2,2,1,2,3,3,1,3,1,1,2,2,2,1,1,1,1,2,2,3,1,1,1,1,1
"R_0DR0hhIkVd1JmUx",2,31,3,2,2,0,NA,3,3,1,3,1,2,1,1,2,2,3,2,1,2,4,2,3,3,1,1,2,3,3,3,2,2,1,2,2,2,1,4,2,2,4,1,1,2,1,1,1,1,1
"R_0GS8Rj5HxQ8Bm9P",1,34,5,3,3,NA,-1,1,1,1,3,2,1,3,2,1,2,4,1,1,3,2,1,2,1,1,2,1,1,1,1,3,1,2,2,1,2,1,2,3,3,2,2,2,1,1,2,2,2,1
"R_0GS8Rj5HxQ8Bm9P",1,34,5,3,3,NA,-1,2,1,1,3,2,1,3,1,2,1,4,1,1,3,2,1,2,1,2,1,3,1,1,2,2,1,2,2,1,2,1,1,1,4,1,2,1,1,1,1,1,2,2
"R_0GS8Rj5HxQ8Bm9P",1,34,5,3,3,NA,-1,3,1,2,3,2,1,3,1,2,1,4,1,1,3,2,1,2,1,2,2,3,1,1,2,2,1,2,2,1,2,3,3,1,4,1,2,1,1,1,2,1,2,2
"R_0ikg1LTuzQTTyQV",2,38,5,6,1,0,NA,1,1,1,3,1,1,3,3,2,1,1,2,2,1,4,2,1,3,1,1,2,1,3,3,2,3,2,3,1,2,1,2,1,3,2,1,1,3,3,3,2,1,2
"R_0ikg1LTuzQTTyQV",2,38,5,6,1,0,NA,2,1,1,3,1,1,3,2,2,1,1,2,2,1,4,2,1,3,1,1,2,1,3,3,2,3,2,3,1,2,1,2,1,3,2,1,1,3,3,3,2,1,2
"R_0ikg1LTuzQTTyQV",2,38,5,6,1,0,NA,3,1,1,3,2,1,3,3,2,1,1,2,2,1,4,1,1,3,1,1,2,1,3,3,2,3,2,3,1,2,1,2,1,3,2,1,1,3,3,3,2,1,2
"R_0JpBCLzRnizMphv",1,37,2,6,2,0,NA,1,3,2,3,1,1,3,3,1,1,2,2,2,2,3,2,2,2,2,1,2,1,3,1,2,3,2,1,2,1,2,3,1,4,4,1,1,2,1,2,2,1,2
"R_0JpBCLzRnizMphv",1,37,2,6,2,0,NA,2,3,2,3,1,1,3,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,3,1,1,3,2,2,2,2,2,2,2,4,2,1,2,2,1,1,2,1,2
"R_0JpBCLzRnizMphv",1,37,2,6,2,0,NA,3,1,1,3,2,1,3,1,2,2,4,2,2,3,4,1,1,1,1,2,1,1,3,1,2,3,2,1,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1
"R_0JpkA3pDFqhC5sl",2,35,5,2,2,0,NA,1,1,1,3,1,1,3,1,2,1,4,1,2,1,3,2,1,2,1,1,1,1,1,1,3,3,2,1,1,1,3,2,3,4,1,2,1,2,2,1,2,2,1
"R_0JpkA3pDFqhC5sl",2,35,5,2,2,0,NA,2,3,2,3,1,1,3,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,3,3,2,3,1,2,3,1,3,4,2,2,2,2,3,1,2,2,2
"R_0JpkA3pDFqhC5sl",2,35,5,2,2,0,NA,3,1,1,3,1,1,1,3,2,3,3,1,1,1,4,2,2,2,1,1,1,1,3,3,3,3,1,3,1,1,2,4,2,3,1,1,1,3,2,1,1,1,1
"R_0JR9AHbJPZc0JpL",1,22,5,3,2,0,NA,1,2,1,3,1,2,1,3,2,1,1,1,2,1,4,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,3,1,4,3,1,1,1,2,1,1,1,1
"R_0JR9AHbJPZc0JpL",1,22,5,3,2,0,NA,2,1,2,3,2,2,2,3,1,1,1,1,2,1,3,1,2,2,1,1,1,3,2,1,1,2,1,1,1,2,2,2,1,1,3,1,2,1,3,1,1,1,1
"R_0JR9AHbJPZc0JpL",1,22,5,3,2,0,NA,3,1,1,3,1,2,1,1,2,1,1,2,2,3,4,2,2,1,2,1,2,2,1,1,2,2,1,1,1,2,1,3,1,4,3,2,1,1,2,1,1,1,1
"R_0k1ZeVh3ldTV5mx",2,51,2,2,2,0,NA,1,2,1,3,1,1,3,3,2,1,4,1,2,1,1,2,2,2,1,2,1,2,3,1,3,2,2,1,2,1,3,3,3,4,2,1,1,1,1,1,1,2,1
"R_0k1ZeVh3ldTV5mx",2,51,2,2,2,0,NA,2,1,1,2,1,2,1,1,1,2,2,2,1,1,4,2,1,3,1,2,2,3,2,1,3,2,2,1,2,1,3,4,2,3,4,2,2,2,1,1,2,2,2
"R_0k1ZeVh3ldTV5mx",2,51,2,2,2,0,NA,3,3,2,3,2,1,3,3,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,3,2,2,2,2,2,3,3,1,4,1,1,3,3,1,2,2,2,2
"R_0kOjWBvMDcXhG13",2,53,4,2,2,1,NA,1,3,1,3,2,1,3,1,1,3,1,1,1,3,1,1,2,2,1,1,2,1,3,1,2,2,2,3,1,1,2,3,1,4,3,2,2,3,3,3,2,1,1
"R_0kOjWBvMDcXhG13",2,53,4,2,2,1,NA,2,3,1,3,2,1,3,3,1,3,1,1,1,3,1,1,2,2,1,1,2,1,3,2,2,2,2,3,1,1,2,3,1,4,3,2,2,3,3,3,2,1,1
"R_0kOjWBvMDcXhG13",2,53,4,2,2,1,NA,3,3,2,3,1,2,1,1,1,2,4,2,2,1,4,2,3,3,1,1,3,2,1,3,2,3,1,2,2,1,1,4,3,1,3,1,2,2,3,1,2,1,1
"R_0O3n72IHTqDAvHr",1,33,5,4,3,NA,0,1,3,2,1,2,1,1,2,2,3,4,2,2,2,1,1,1,1,1,2,1,1,1,1,3,1,2,1,1,2,1,3,1,1,3,2,1,3,3,1,2,1,1
"R_0O3n72IHTqDAvHr",1,33,5,4,3,NA,0,2,1,2,1,1,1,2,3,2,1,4,2,1,3,4,2,1,3,1,1,1,1,1,2,3,1,2,1,1,2,1,3,1,3,4,2,1,3,3,1,1,1,1
"R_0O3n72IHTqDAvHr",1,33,5,4,3,NA,0,3,1,2,1,2,1,1,1,2,3,4,2,1,2,1,1,1,1,1,2,1,1,1,1,3,1,2,1,1,2,1,3,1,1,2,2,1,3,2,1,2,1,2
"R_0OePNXth6uuo6sh",1,43,5,1,3,NA,1,1,3,1,3,1,2,1,3,1,2,2,1,1,2,4,2,3,2,1,2,1,2,3,3,2,2,1,1,1,2,1,2,1,4,3,2,2,2,1,1,2,1,1
"R_0OePNXth6uuo6sh",1,43,5,1,3,NA,1,2,3,2,3,2,1,1,1,2,1,4,2,2,1,3,1,2,1,1,2,2,1,3,2,2,2,1,1,1,2,2,2,2,4,2,2,1,3,2,1,2,1,2
"R_0OePNXth6uuo6sh",1,43,5,1,3,NA,1,3,3,2,3,2,2,1,3,1,2,4,2,1,2,4,1,3,2,1,2,1,1,3,3,2,2,1,1,1,2,1,2,2,4,3,2,1,3,2,1,2,1,2
"R_0ogVY24JQ32IIF7",1,48,4,4,3,NA,1,1,1,1,3,1,2,1,3,1,2,4,1,2,1,3,2,2,2,1,1,1,2,3,3,2,2,1,1,1,2,1,2,1,4,3,1,1,2,2,1,2,1,1
"R_0ogVY24JQ32IIF7",1,48,4,4,3,NA,1,2,2,2,2,2,1,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,3,3,3,2,3,2,2,3,4,3,2,2,1,1,1,1,2,1,2,1
"R_0ogVY24JQ32IIF7",1,48,4,4,3,NA,1,3,2,2,2,2,1,3,3,2,1,1,2,1,3,4,2,1,3,2,1,1,1,2,1,3,1,2,2,2,2,3,4,3,3,4,2,3,1,1,3,1,2,2
"R_0qeQrzebeNGDzqN",2,64,3,1,2,1,NA,1,1,2,3,2,1,2,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,3,3,2,3,2,1,1,2,3,2,3,4,2,2,1,1,3,1,1,1,1
"R_0qeQrzebeNGDzqN",2,64,3,1,2,1,NA,2,1,1,3,1,1,1,1,1,1,2,2,2,1,4,2,2,1,1,1,1,1,3,3,2,3,1,1,1,2,3,2,3,4,2,2,2,1,2,1,1,1,1
"R_0qeQrzebeNGDzqN",2,64,3,1,2,1,NA,3,1,2,3,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,1,1,1,3,3,2,3,2,1,1,2,3,2,3,4,2,1,1,1,3,1,1,1,1
"R_0SWQHWoTCgDbznr",2,22,3,1,3,NA,0,1,1,2,2,1,1,3,3,2,1,2,1,2,3,3,1,2,2,1,1,1,1,1,1,1,3,2,3,2,2,3,3,1,4,4,2,2,3,2,1,1,2,2
"R_0SWQHWoTCgDbznr",2,22,3,1,3,NA,0,2,2,1,3,2,2,1,1,1,3,4,1,1,2,4,2,3,1,2,1,2,4,3,3,2,2,2,1,2,1,1,4,1,3,1,1,1,2,1,1,1,1,1
"R_0SWQHWoTCgDbznr",2,22,3,1,3,NA,0,3,3,2,3,1,1,2,2,2,3,2,1,1,2,3,1,1,2,1,1,1,1,3,3,2,3,2,2,2,2,3,1,3,3,1,1,2,2,1,1,2,1,2
"R_0UI0sl0rizvgFj3",2,48,5,4,1,1,NA,1,1,1,3,2,1,1,1,1,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,2,3,1,3,4,1,2,2,3,2,1,1,2,2
"R_0UI0sl0rizvgFj3",2,48,5,4,1,1,NA,2,1,1,3,1,1,1,1,2,2,4,2,2,1,4,2,1,2,1,1,1,1,1,1,2,3,2,3,1,2,3,1,1,4,1,2,2,3,2,1,1,2,2
"R_0UI0sl0rizvgFj3",2,48,5,4,1,1,NA,3,1,1,3,1,1,1,1,2,2,4,1,2,1,1,2,1,2,1,1,1,1,1,1,2,3,2,3,1,2,3,1,1,4,1,2,2,3,2,1,1,2,2
"R_0uLwFduXoZ2a3aF",2,27,5,3,2,1,NA,1,1,1,1,2,2,2,3,1,1,3,2,2,2,2,1,2,1,1,2,3,1,1,3,2,1,1,1,2,1,1,3,3,2,1,1,3,1,2,2,2,1,1
"R_0uLwFduXoZ2a3aF",2,27,5,3,2,1,NA,2,1,1,1,1,2,3,3,2,1,3,1,2,3,1,2,3,1,1,1,3,3,1,3,3,2,1,1,1,2,2,3,2,3,2,1,1,3,3,2,1,2,2
"R_0uLwFduXoZ2a3aF",2,27,5,3,2,1,NA,3,2,1,3,2,2,2,3,2,3,1,1,1,2,3,2,2,1,1,1,3,4,2,1,3,2,2,1,1,1,1,2,1,3,1,1,2,1,1,1,2,2,1
"R_0vqpVFcjsD1v7ah",1,21,3,7,1,1,NA,1,1,1,1,2,2,1,3,2,1,2,2,2,1,3,1,2,2,1,1,1,2,1,1,2,3,1,1,1,2,1,3,1,4,1,2,1,2,1,1,1,1,1
"R_0vqpVFcjsD1v7ah",1,21,3,7,1,1,NA,2,1,1,1,1,2,1,2,1,1,2,1,2,2,3,2,2,2,1,1,2,2,2,1,2,3,1,1,1,2,1,1,1,4,3,1,2,2,1,1,1,1,1
"R_0vqpVFcjsD1v7ah",1,21,3,7,1,1,NA,3,1,2,1,1,2,1,1,1,1,2,1,2,2,3,2,2,2,1,1,2,2,3,1,2,3,1,1,1,2,1,1,1,4,3,1,2,2,1,1,1,1,1
"R_0vSdFrExu5oi0Op",2,48,5,3,3,NA,-1,1,3,2,1,2,1,3,3,1,2,1,1,1,1,2,1,1,3,2,1,3,1,2,2,3,1,2,3,1,2,3,3,3,3,1,2,2,1,1,3,2,2,2
"R_0vSdFrExu5oi0Op",2,48,5,3,3,NA,-1,2,1,1,2,1,2,1,1,2,3,2,1,2,2,4,1,3,2,1,1,1,2,3,3,2,3,1,1,2,2,1,4,1,4,1,1,1,2,4,1,1,1,1
"R_0vSdFrExu5oi0Op",2,48,5,3,3,NA,-1,3,1,1,2,1,2,1,1,1,3,2,1,2,2,1,1,3,2,1,1,1,2,1,3,2,3,1,1,2,2,1,4,1,4,3,1,2,2,3,1,1,1,2
"R_0VTDa8highVttzf",2,38,5,4,4,NA,0,1,3,1,3,1,1,2,3,1,3,3,1,2,1,1,2,2,2,2,1,2,1,2,3,2,2,1,1,1,2,3,2,3,4,2,2,2,2,1,1,1,1,1
"R_0VTDa8highVttzf",2,38,5,4,4,NA,0,2,1,2,3,2,1,2,2,1,3,1,2,1,1,4,2,2,2,1,2,1,1,3,3,2,3,1,1,1,2,2,1,1,4,2,1,2,3,1,1,1,1,2
"R_0VTDa8highVttzf",2,38,5,4,4,NA,0,3,3,1,1,1,1,1,2,2,2,3,1,1,2,4,2,3,2,2,2,1,1,3,3,1,1,1,1,2,1,1,2,1,3,2,1,1,2,1,1,1,1,2
"R_0VUHsMJY9XAhH8t",2,49,5,5,1,0,NA,1,2,2,3,2,1,1,3,2,3,4,2,1,1,1,1,2,2,1,2,1,1,3,1,2,3,2,3,2,2,2,1,3,4,1,1,1,1,3,2,1,2,2
"R_0VUHsMJY9XAhH8t",2,49,5,5,1,0,NA,2,2,2,3,2,1,1,3,1,1,4,2,1,1,3,1,2,2,2,2,1,1,3,1,2,3,2,3,2,2,2,1,2,4,1,2,2,1,2,2,1,2,2
"R_0VUHsMJY9XAhH8t",2,49,5,5,1,0,NA,3,2,2,3,2,1,1,1,1,3,2,2,2,1,1,1,2,2,2,2,1,1,3,1,2,3,2,3,2,2,2,1,2,3,1,2,2,2,3,2,1,2,2
"R_0was9F2yIs76vgR",2,33,5,3,2,0,NA,1,1,2,3,2,2,1,1,2,1,4,2,2,1,2,1,1,1,1,1,1,2,1,1,3,1,2,2,2,2,3,3,1,3,2,2,1,3,3,3,1,2,2
"R_0was9F2yIs76vgR",2,33,5,3,2,0,NA,2,1,1,3,2,2,1,3,1,1,4,2,1,1,2,1,1,1,1,1,1,2,1,1,3,1,2,3,2,2,3,3,1,4,3,2,2,3,3,3,1,2,2
"R_0was9F2yIs76vgR",2,33,5,3,2,0,NA,3,1,2,3,2,2,3,1,2,1,4,1,1,2,3,1,1,2,1,1,1,1,1,1,3,1,1,3,1,2,2,3,1,3,3,2,1,3,3,3,1,1,1
"R_0x3lihAnRogbiDL",2,24,5,2,4,NA,-1,1,1,1,3,2,1,3,3,2,3,2,1,1,1,4,1,2,2,1,1,2,2,2,3,3,1,2,2,1,2,2,2,2,4,2,2,1,3,3,2,1,1,1
"R_0x3lihAnRogbiDL",2,24,5,2,4,NA,-1,2,1,1,3,2,2,2,3,2,2,3,2,1,1,4,1,1,2,1,2,3,1,2,3,1,1,1,2,1,2,1,4,1,4,3,2,1,2,3,2,1,1,1
"R_0x3lihAnRogbiDL",2,24,5,2,4,NA,-1,3,1,1,3,2,2,1,1,2,2,4,2,1,2,1,1,2,3,1,2,1,3,2,3,1,3,2,3,2,2,1,4,1,4,4,2,1,2,2,2,2,1,1
"R_0xhdz9yhNT5rQxH",1,25,5,5,3,NA,-1,1,1,1,3,1,2,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,3,1,1,2,2,1,1,3,1,2,3,2,1,1,2,3,2,1,2,1
"R_0xhdz9yhNT5rQxH",1,25,5,5,3,NA,-1,2,1,2,3,2,2,3,1,1,3,3,2,1,1,3,1,2,1,1,2,1,1,1,3,3,1,2,2,2,2,3,2,3,3,3,2,2,1,2,2,1,2,1
"R_0xhdz9yhNT5rQxH",1,25,5,5,3,NA,-1,3,1,2,3,2,2,2,1,1,3,3,1,1,1,4,2,2,1,1,1,1,1,3,3,3,1,2,2,1,2,3,4,2,3,2,2,2,1,2,2,2,2,1
"R_10D8UvBlymE6x06",2,27,6,3,2,1,NA,1,3,2,3,1,2,1,2,1,1,2,2,1,1,4,2,1,2,2,1,1,1,3,3,2,2,2,1,1,2,3,4,1,4,1,2,1,3,2,1,1,1,2
"R_10D8UvBlymE6x06",2,27,6,3,2,1,NA,2,1,2,3,2,2,3,1,2,1,1,1,1,1,3,1,1,2,2,1,1,1,1,1,2,2,2,1,1,2,3,3,3,4,1,2,2,3,2,1,1,1,2
"R_10D8UvBlymE6x06",2,27,6,3,2,1,NA,3,3,1,3,1,2,3,2,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,2,3,2,1,1,2,3,4,1,4,2,2,1,3,2,1,1,1,2
"R_10DDY1I7go117jK",2,23,3,2,2,0,NA,1,3,1,1,1,1,1,2,2,2,4,1,1,1,3,2,2,2,1,1,1,4,1,2,2,2,2,2,1,2,3,1,1,4,1,2,2,2,1,1,1,1,1
"R_10DDY1I7go117jK",2,23,3,2,2,0,NA,2,3,1,1,1,1,1,2,2,2,4,1,1,1,3,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,3,1,1,3,1,2,1,2,1,1,1,1,1
"R_10DDY1I7go117jK",2,23,3,2,2,0,NA,3,1,1,1,2,1,3,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,3,2,3,3,2,2,1,2,3,2,1,4,1,2,1,3,1,1,1,1,1
"R_10DIrddpUN2BFsZ",2,36,5,3,2,0,NA,1,2,1,2,2,2,3,3,2,2,2,1,1,1,1,1,2,3,1,1,1,1,2,3,3,2,1,2,1,2,3,1,3,3,3,2,1,1,2,1,1,1,2
"R_10DIrddpUN2BFsZ",2,36,5,3,2,0,NA,2,3,1,2,2,2,3,1,2,2,4,1,1,1,2,1,2,3,1,1,1,1,1,3,3,1,2,1,1,2,3,4,2,3,2,2,1,2,2,1,1,1,2
"R_10DIrddpUN2BFsZ",2,36,5,3,2,0,NA,3,1,1,2,2,2,3,1,2,2,4,1,1,1,2,1,2,3,1,1,1,1,3,3,3,3,2,1,1,1,3,1,2,4,2,2,1,2,2,1,1,1,1
"R_10DIRUJ6tfxWY3X",2,66,6,3,3,NA,1,1,1,2,3,1,1,3,1,1,1,4,1,2,1,3,2,1,1,2,1,1,1,2,1,2,1,2,1,2,1,3,3,2,3,1,2,2,3,2,1,2,2,2
"R_10DIRUJ6tfxWY3X",2,66,6,3,3,NA,1,2,1,2,3,2,1,3,1,1,1,4,2,2,1,4,1,1,1,2,1,1,1,2,1,2,1,2,1,2,1,3,3,2,3,1,2,2,3,2,1,2,2,2
