n,seed,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
40,1,1,0.163568,0.141956,0.120456
40,1,2,24.157703,24.149839,24.083703
40,1,3,552.509533,552.503973,552.453062
40,1,4,28.139901,28.132256,28.115420
40,1,5,32.863432,32.851058,32.768253
40,1,6,21.282716,21.278345,21.250252
40,1,7,247.826391,247.822449,247.738412
40,1,8,789.929986,789.926007,789.893211
40,1,9,253.174899,253.170976,253.126496
40,1,10,6713.339619,6713.335462,6713.265060
40,1,11,5922.621806,5922.617799,5922.560625
40,1,12,22971.496316,22971.492163,22971.428020
40,1,13,5674.729803,5674.725784,5674.653003
40,1,14,15920.484055,15920.480011,15920.406930
40,1,15,41110.225200,41110.221168,41110.140908
40,1,16,52242.897342,52242.893343,52242.799692
40,1,17,60965.111930,60965.107938,60965.012159
40,1,18,28277.628570,28277.624603,28277.561967
40,1,19,5505.954296,5505.950350,5505.881694
40,1,20,41928.427530,41928.423611,41928.345446
40,1,21,49084.422299,49084.418088,49084.342731
40,1,22,90476.586528,90476.582607,90476.495613
40,1,23,9134.138512,9134.134529,9134.068435
