n,seed,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
31,1,1,0.084290,0.061829,0.047169
31,1,2,1.652952,1.646512,1.630078
31,1,3,1.097942,1.093927,1.054677
31,1,4,1.127250,1.122254,1.099165
31,1,5,0.700082,0.690566,0.664694
31,1,6,1.132288,1.129515,1.114617
31,1,7,1.195425,1.192713,1.172036
31,1,8,4.473041,4.470176,4.447213
31,1,9,3.752601,3.750146,3.731801
31,1,10,5.505491,5.502747,5.484524
31,1,11,30.743512,30.740710,30.723691
31,1,12,24.450525,24.447710,24.425805
31,1,13,38.744177,38.739100,38.706868
31,1,14,15.835918,15.832250,15.795100
31,1,15,35.717099,35.711888,35.679734
31,1,16,50.809179,50.805636,50.718314
31,1,17,26.978657,26.975648,26.935774
31,1,18,49.204722,49.201850,49.158399
31,1,19,46.544537,46.541703,46.512946
31,1,20,44.267858,44.265045,44.198501
31,1,21,43.755642,43.752790,43.718107
31,1,22,36.416257,36.413441,36.366704
31,1,23,15.143913,15.141065,15.104091
31,1,24,35.002172,34.997956,34.929118
31,1,25,44.314893,44.311920,44.275368
31,1,26,75.285442,75.282580,75.234360
31,1,27,45.832036,45.829169,45.634803
31,1,28,142.741096,142.738217,142.622370
31,1,29,252.513925,252.511075,252.475160
31,1,30,102.501553,102.498681,102.463585
31,1,31,137.862613,137.859792,137.817934
31,1,32,228.595169,228.592308,228.548857
31,1,33,255.044088,255.041263,254.995929
31,1,34,238.574194,238.570966,238.531978
31,1,35,271.343754,271.340432,271.295433
31,1,36,191.221999,191.218655,191.179204
31,1,37,95.062330,95.056889,95.003140
31,1,38,788.369238,788.365308,788.325425
31,1,39,862.199820,862.194502,862.140839
31,1,40,797.162994,797.159575,797.112928
31,1,41,299.222548,299.219684,299.171498
31,1,42,354.505973,354.503167,354.467845
31,1,43,269.395451,269.392674,269.353883
31,1,44,890.827650,890.824502,890.757582
31,1,45,543.993136,543.990085,543.946603
31,1,46,894.481730,894.478875,894.440970
31,1,47,265.172558,265.169681,265.131842
31,1,48,833.533252,833.530406,833.489876
31,1,49,818.974465,818.971626,818.922557
31,1,50,911.809247,911.806433,911.743102
31,1,51,974.139933,974.137102,974.080023
31,1,52,995.084386,995.081582,995.017826
31,1,53,1118.370022,1118.367183,1118.314044
31,1,54,1063.113148,1063.110340,1063.059894
31,1,55,1085.317035,1085.314159,1085.262585
31,1,56,1222.899123,1222.896237,1222.844279
31,1,57,1680.367746,1680.364868,1680.321530
31,1,58,1248.203622,1248.200789,1248.159005
31,1,59,1477.098856,1477.096047,1477.047667
31,1,60,901.124043,901.121235,901.066192
31,1,61,1085.204074,1085.201226,1085.159314
31,1,62,1067.420108,1067.417252,1067.362549
31,1,63,1063.386083,1063.383293,1063.332168
31,1,64,872.507054,872.504198,872.460530
31,1,65,2283.636767,2283.633911,2283.606849
31,1,66,1861.138439,1861.135531,1861.088839
31,1,67,1104.452958,1104.449982,1104.381592
31,1,68,1411.574395,1411.571462,1411.525220
31,1,69,991.141849,991.138789,991.108810
31,1,70,1356.781157,1356.777598,1356.733662
31,1,71,1548.493948,1548.488629,1548.437199
31,1,72,1330.652085,1330.648103,1330.594577
31,1,73,987.608267,987.602982,987.557437
31,1,74,1217.565865,1217.562321,1217.514475
31,1,75,1514.069255,1514.066320,1514.022323
31,1,76,1740.216687,1740.213768,1740.169986
31,1,77,1700.256677,1700.253684,1700.198154
31,1,78,1686.648739,1686.645507,1686.591014
31,1,79,1460.467639,1460.464492,1460.418346
31,1,80,1664.027437,1664.024484,1663.977350
31,1,81,1737.756860,1737.753835,1737.726233
31,1,82,1566.860771,1566.857820,1566.802461
31,1,83,1096.569237,1096.563694,1096.512458
31,1,84,1523.977636,1523.974426,1523.936516
31,1,85,1830.220339,1830.216889,1830.162820
31,1,86,1619.759881,1619.753854,1619.708220
31,1,87,1561.325709,1561.322674,1561.286572
31,1,88,2119.961555,2119.958079,2119.903232
31,1,89,1561.325678,1561.322719,1561.271306
31,1,90,2685.140497,2685.137518,2685.095161
31,1,91,2604.059468,2604.051911,2604.002309
31,1,92,2281.656861,2281.654003,2281.601644
31,1,93,2740.306068,2740.303127,2740.240702
31,1,94,3112.252324,3112.249335,3112.215153
31,1,95,2895.219722,2895.216694,2895.171845
31,1,96,2590.394572,2590.391570,2590.335034
31,1,97,2482.487465,2482.484595,2482.440585
31,1,98,2279.790106,2279.787159,2279.744877
31,1,99,2372.720088,2372.717151,2372.687899
31,1,100,3021.375989,3021.373030,3021.311811
31,1,101,2243.330124,2243.327188,2243.272653
31,1,102,3365.542243,3365.539247,3365.492939
31,1,103,2157.139009,2157.136014,2157.100453
31,1,104,3235.461205,3235.458265,3235.407171
31,1,105,2498.439650,2498.436677,2498.380754
31,1,106,2671.469094,2671.465736,2671.416977
31,1,107,2721.362864,2721.359678,2721.315702
31,1,108,2696.563262,2696.560290,2696.515163
31,1,109,2811.631374,2811.628419,2811.584791
31,1,110,2585.656022,2585.653025,2585.601861
31,1,111,3403.565650,3403.562704,3403.525471
31,1,112,3508.786246,3508.783246,3508.727066
31,1,113,3334.021091,3334.018075,3333.967863
31,1,114,3218.840673,3218.837691,3218.782168
31,1,115,3452.830158,3452.827194,3452.770474
31,1,116,4116.682632,4116.677155,4116.631975
31,1,117,4212.070097,4212.066752,4212.019715
31,1,118,3096.136226,3096.130928,3096.086995
31,1,119,3723.100299,3723.097289,3723.057565
31,1,120,3166.737676,3166.734664,3166.698807
31,1,121,4063.764996,4063.761999,4063.710438
31,1,122,3316.903151,3316.900153,3316.861538
31,1,123,3582.890106,3582.887176,3582.833025
31,1,124,4455.903973,4455.901047,4455.855672
31,1,125,4508.046239,4508.043243,4507.993281
31,1,126,4418.459579,4418.456592,4418.373626
31,1,127,3342.620474,3342.617504,3342.572144
31,1,128,3458.533579,3458.530547,3458.489424
31,1,129,5169.999930,5169.996947,5169.949925
31,1,130,3568.301475,3568.298454,3568.250489
31,1,131,4978.318504,4978.315077,4978.263615
31,1,132,4248.528577,4248.524613,4248.475953
31,1,133,4005.373183,4005.370178,4005.324419
31,1,134,5102.226154,5102.222598,5102.167870
31,1,135,5266.934466,5266.931387,5266.877217
31,1,136,4311.482599,4311.479521,4311.436890
