n,seed,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
25,1,1,0.093821,0.069515,0.022729
25,1,2,0.052345,0.048560,0.042529
25,1,3,0.300305,0.297924,0.283003
25,1,4,0.186306,0.182398,0.127595
25,1,5,0.057743,0.050546,0.045206
25,1,6,0.045678,0.044035,0.038696
25,1,7,0.048934,0.047463,0.042119
25,1,8,0.135764,0.134317,0.127661
25,1,9,0.497906,0.496427,0.484530
25,1,10,1.228656,1.227122,1.219847
25,1,11,0.637339,0.635858,0.623262
25,1,12,0.645331,0.643791,0.629430
25,1,13,1.567867,1.566351,1.545385
25,1,14,0.659529,0.658047,0.647148
25,1,15,0.641456,0.639598,0.624872
25,1,16,1.801269,1.799723,1.769335
25,1,17,1.080664,1.079177,1.061884
25,1,18,2.238312,2.236792,2.231010
25,1,19,1.952613,1.951004,1.942263
25,1,20,3.869932,3.868328,3.852695
25,1,21,2.193283,2.191376,2.171975
25,1,22,2.161795,2.160239,2.147961
25,1,23,5.297450,5.295446,5.275749
25,1,24,7.081101,7.079360,7.067447
25,1,25,4.451436,4.449544,4.440671
25,1,26,2.838746,2.837185,2.823136
25,1,27,5.670735,5.669030,5.657301
25,1,28,6.889247,6.887300,6.875768
25,1,29,3.718176,3.716598,3.701384
25,1,30,2.998143,2.996626,2.983843
25,1,31,3.558532,3.557017,3.537003
25,1,32,4.727328,4.725726,4.702271
25,1,33,5.648957,5.646926,5.631958
25,1,34,10.947840,10.945758,10.931490
25,1,35,10.799690,10.797598,10.779180
25,1,36,16.606829,16.604727,16.594063
25,1,37,19.279030,19.276917,19.254457
25,1,38,27.282998,27.280829,27.260099
25,1,39,20.745193,20.743055,20.724999
25,1,40,19.875174,19.873075,19.807297
25,1,41,18.195920,18.193829,18.165822
25,1,42,20.010036,20.007771,19.990950
25,1,43,32.055906,32.053666,32.025530
25,1,44,27.011433,27.009308,26.982252
25,1,45,11.632630,11.630924,11.607772
25,1,46,15.889955,15.887886,15.872258
25,1,47,10.199793,10.197667,10.179586
25,1,48,17.193441,17.191325,17.174855
25,1,49,28.549479,28.547382,28.523530
25,1,50,27.731451,27.729343,27.717437
25,1,51,42.604591,42.602470,42.584335
25,1,52,41.392971,41.390896,41.374666
25,1,53,40.376406,40.374278,40.350396
25,1,54,48.265906,48.263598,48.249382
25,1,55,44.415356,44.413221,44.384881
25,1,56,38.214048,38.211936,38.197554
25,1,57,35.174391,35.172377,35.154398
25,1,58,41.553168,41.551094,41.532195
25,1,59,32.126760,32.124642,32.107640
25,1,60,42.405175,42.403065,42.386512
25,1,61,55.862155,55.860045,55.831284
25,1,62,62.609132,62.607060,62.583541
25,1,63,74.085786,74.083705,74.053765
25,1,64,51.419711,51.417588,51.389273
25,1,65,59.813111,59.810958,59.783954
25,1,66,76.997223,76.995119,76.976082
25,1,67,53.566489,53.564377,53.549467
25,1,68,48.414820,48.412694,48.392084
25,1,69,66.901960,66.899840,66.880162
25,1,70,52.672395,52.670227,52.654505
25,1,71,50.538251,50.536137,50.521788
25,1,72,54.158250,54.156117,54.133791
25,1,73,48.194729,48.192550,48.166240
25,1,74,79.329778,79.327660,79.303998
25,1,75,45.398747,45.396643,45.377980
25,1,76,63.660243,63.658153,63.591852
25,1,77,78.321041,78.318957,78.294269
25,1,78,47.601327,47.599179,47.563316
25,1,79,60.164875,60.162705,60.134702
25,1,80,84.008061,84.005956,83.985226
25,1,81,96.793590,96.791386,96.765725
25,1,82,48.010807,48.008626,47.980321
25,1,83,64.174679,64.172475,64.142130
25,1,84,83.243330,83.241122,83.210191
25,1,85,79.795058,79.792921,79.772222
25,1,86,69.098067,69.095878,69.077383
25,1,87,80.462533,80.460307,80.435138
