n,seed,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
43,1,1,0.191821,0.169865,0.150419
43,1,2,1069.544445,1069.536141,1069.434481
43,1,3,3997.300280,3997.294103,3997.231513
43,1,4,179.760496,179.751762,179.691755
43,1,5,51.650803,51.636927,51.597409
43,1,6,502.101852,502.096549,502.027324
43,1,7,223.791877,223.787203,223.731628
43,1,8,7950.893273,7950.888649,7950.819856
43,1,9,2812.617373,2812.612414,2812.543923
43,1,10,117908.053286,117908.048595,117907.916183
43,1,11,61489.069653,61489.064903,61488.979771
43,1,12,93841.990630,93841.986083,93841.889516
43,1,13,117425.270134,117425.265435,117425.151269
