n,seed,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
33,1,1,0.093366,0.072681,0.058047
33,1,2,5.574839,5.567351,5.502265
33,1,3,5.012284,5.008708,4.979307
33,1,4,4.812276,4.807155,4.783245
33,1,5,2.250629,2.240433,2.199572
33,1,6,2.170217,2.167312,2.139042
33,1,7,1.583077,1.580647,1.557877
33,1,8,4.613938,4.611482,4.584629
33,1,9,10.865139,10.862238,10.840575
33,1,10,47.710583,47.707537,47.683889
33,1,11,20.741197,20.738193,20.708906
33,1,12,35.208615,35.205620,35.175521
33,1,13,350.405632,350.402629,350.348875
33,1,14,119.906795,119.903763,119.879916
33,1,15,111.601005,111.597808,111.574076
33,1,16,108.116267,108.113179,108.074687
33,1,17,83.785217,83.782194,83.748697
33,1,18,244.077363,244.074338,244.035198
33,1,19,80.890462,80.887427,80.861046
33,1,20,193.548761,193.545713,193.453728
33,1,21,254.961129,254.958094,254.901491
33,1,22,79.475606,79.472576,79.437349
33,1,23,496.873954,496.870784,496.832427
33,1,24,318.106208,318.103151,318.058987
33,1,25,597.482788,597.479707,597.442928
33,1,26,884.329543,884.326553,884.283827
33,1,27,423.463656,423.460549,423.418535
33,1,28,830.549958,830.546913,830.515210
33,1,29,2183.649132,2183.646106,2183.599979
33,1,30,1716.886569,1716.883570,1716.823720
33,1,31,1108.527659,1108.524332,1108.450444
33,1,32,1261.269675,1261.266350,1261.203260
33,1,33,1128.169763,1128.166585,1128.112239
33,1,34,1499.052117,1499.049069,1498.989013
33,1,35,2296.301770,2296.298722,2296.260388
33,1,36,2933.979859,2933.976718,2933.933975
33,1,37,2641.169666,2641.166609,2641.116716
33,1,38,2715.078543,2715.075517,2715.036523
33,1,39,2075.581994,2075.578941,2075.524655
33,1,40,3089.171180,3089.168133,3089.084164
33,1,41,2430.854783,2430.851721,2430.797974
33,1,42,1847.446363,1847.443251,1847.408361
33,1,43,2599.199074,2599.195999,2599.147154
33,1,44,3296.542523,3296.539499,3296.465725
33,1,45,3424.063024,3424.059959,3423.993532
33,1,46,3510.132458,3510.129416,3510.086194
33,1,47,3172.718379,3172.715336,3172.674374
33,1,48,5308.699101,5308.696080,5308.622268
33,1,49,4507.931307,4507.928246,4507.861800
33,1,50,3930.963386,3930.960294,3930.901402
33,1,51,4557.867292,4557.864190,4557.822903
33,1,52,5235.353924,5235.350854,5235.301369
33,1,53,4160.857848,4160.854828,4160.800589
33,1,54,5127.016490,5127.013440,5126.882159
33,1,55,5208.064461,5208.061403,5208.017652
33,1,56,7289.998473,7289.995329,7289.966483
33,1,57,8342.018000,8342.014921,8341.967301
33,1,58,5164.245182,5164.242098,5164.195141
33,1,59,9899.358492,9899.355406,9899.305195
33,1,60,9349.342843,9349.339780,9349.273362
33,1,61,10253.080397,10253.077330,10253.030456
33,1,62,7118.093434,7118.089818,7118.039909
33,1,63,8029.577491,8029.574318,8029.524543
33,1,64,7067.870752,7067.867562,7067.822260
33,1,65,8220.363226,8220.360019,8220.297290
33,1,66,12727.610606,12727.607440,12727.554756
33,1,67,9095.267106,9095.263994,9095.141617
33,1,68,11567.596458,11567.593317,11567.548592
33,1,69,13361.211827,13361.208638,13361.132083
33,1,70,13096.244325,13096.241171,13096.195679
33,1,71,10558.984914,10558.981774,10558.920383
33,1,72,10612.865511,10612.862492,10612.727526
33,1,73,14746.257260,14746.254246,14746.183247
33,1,74,9989.640525,9989.637501,9989.591637
33,1,75,8609.895342,8609.892303,8609.825517
33,1,76,12766.969960,12766.966944,12766.911855
33,1,77,13573.415457,13573.412524,13573.346095
33,1,78,11845.822156,11845.819105,11845.759034
33,1,79,12375.492169,12375.489151,12375.431631
33,1,80,14517.899677,14517.896652,14517.830380
33,1,81,12580.160835,12580.157792,12580.106687
33,1,82,18259.377975,18259.374926,18259.289498
33,1,83,17050.487422,17050.484397,17050.421256
33,1,84,25974.243939,25974.240853,25974.165515
33,1,85,22409.932502,22409.929471,22409.861362
33,1,86,17561.115439,17561.112443,17561.053026
33,1,87,22188.293774,22188.290761,22188.201529
33,1,88,15913.469428,15913.466447,15913.398798
33,1,89,16720.380200,16720.377232,16720.304485
33,1,90,22786.219132,22786.216127,22786.148063
33,1,91,22076.488395,22076.485403,22076.405864
33,1,92,25810.668386,25810.665387,25810.587450
