n,seed,n_obs,n_menus,min_menu_size,max_menu_size,method,total_time_s,error,n_iters,n_ip_calls,ip_build_s,ip_total_s,ip_mean_s,ip_max_s,ip_solve_total_s,ip_solve_mean_s,ip_solve_max_s,ip_gurobi_total_s,status,hostname,cpu_model,n_logical_cores
25,1,600,300,2,2,CG_IP,24332.019482,12.7241189806687,222,222,0.03204,24323.446511,109.565074373874,328.313633,24322.941956,109.562801603604,328.311424,24317.4986729622,ok,r816u29n03.grace.ycrc.yale.edu,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,4
25,2,600,300,2,2,CG_IP,22929.52089,14.2240712398419,227,227,0.007306,22922.431508,100.979874484582,252.130703,22921.947081,100.977740444934,252.128479,22915.582865715,ok,r816u29n03.grace.ycrc.yale.edu,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,4
25,3,600,300,2,2,CG_IP,23166.264574,16.4155785185017,202,202,0.003154,23158.796299,114.647506430693,345.060028,23158.354476,114.645319188119,345.057655,23151.4017899036,ok,r816u29n03.grace.ycrc.yale.edu,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,4
