n,seed,n_obs,n_menus,min_menu_size,max_menu_size,method,total_time_s,error,n_iters,n_ip_calls,ip_build_s,ip_total_s,ip_mean_s,ip_max_s,ip_solve_total_s,ip_solve_mean_s,ip_solve_max_s,ip_gurobi_total_s,status,hostname,cpu_model,n_logical_cores
18,1,306,153,2,2,CG_IP,22.557598,6.62558503278591,79,79,0.031659,20.821959,0.263569101265823,0.531573,20.710325,0.262156012658228,0.530578,19.9175710678101,ok,r816u29n04.grace.ycrc.yale.edu,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,8
18,2,306,153,2,2,CG_IP,19.737739,6.02311472052031,81,81,0.006703,19.291218,0.238163185185185,0.575383,19.207985,0.237135617283951,0.574433,18.3807556629181,ok,r816u29n04.grace.ycrc.yale.edu,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,8
18,3,306,153,2,2,CG_IP,20.915743,6.09062319789675,75,75,0.001948,20.538534,0.27384712,0.553442,20.465745,0.2728766,0.552466,19.736118555069,ok,r816u29n04.grace.ycrc.yale.edu,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,8
18,4,306,153,2,2,CG_IP,31.563535,6.91890751408619,82,82,0.001819,31.15479,0.379936463414634,0.930207,31.074726,0.378960073170732,0.929259,30.0540699958801,ok,r816u29n04.grace.ycrc.yale.edu,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,8
18,5,306,153,2,2,CG_IP,27.13444,6.15810975393612,80,80,0.007735,26.730847,0.3341355875,0.79003,26.654288,0.3331786,0.789117,25.7253787517548,ok,r816u29n04.grace.ycrc.yale.edu,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,8
