n,seed,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
35,1,1,0.103864,0.082975,0.067701
35,1,2,11.349513,11.342643,11.305375
35,1,3,5.634290,5.630053,5.609760
35,1,4,7.421366,7.415353,7.385957
35,1,5,2.489471,2.479873,2.461633
35,1,6,2.193982,2.191157,2.161441
35,1,7,16.780007,16.776867,16.754082
35,1,8,33.077935,33.074666,33.050948
35,1,9,112.519482,112.516158,112.494669
35,1,10,141.544241,141.540999,141.507990
35,1,11,316.376036,316.372571,316.335504
35,1,12,454.144685,454.141446,454.061545
35,1,13,346.404619,346.401207,346.373991
35,1,14,114.583356,114.580082,114.548679
35,1,15,440.070657,440.067331,440.032212
35,1,16,1817.960714,1817.957442,1817.877355
35,1,17,681.965106,681.961755,681.934822
35,1,18,8515.534414,8515.531137,8515.482819
35,1,19,793.283934,793.280707,793.202344
35,1,20,4230.460212,4230.456977,4230.375308
35,1,21,3324.196381,3324.193068,3324.119771
35,1,22,960.059564,960.056256,959.976415
35,1,23,1668.323428,1668.320096,1668.239265
35,1,24,3778.603332,3778.599833,3778.515130
35,1,25,2945.923800,2945.920465,2945.869939
35,1,26,7307.220339,7307.216994,7307.183051
35,1,27,3654.274545,3654.270962,3654.171652
35,1,28,7768.199083,7768.195704,7768.119656
35,1,29,22699.141887,22699.138560,22699.029567
