group,category,STORE,n_upcs,n_obs,n_menus,min_menu_size,max_menu_size,method,total_time_s,error,n_iters,n_ip_calls,ip_build_s,ip_total_s,ip_mean_s,ip_max_s,ip_solve_total_s,ip_solve_mean_s,ip_solve_max_s,ip_gurobi_total_s,status,hostname,cpu_model,n_logical_cores
13,Toothbrushes,141,8,42,8,2,8,CG_IP,8.563080209,0.00237077499952378,17,17,0.118631459,1.930438916,0.113555230352941,1.482442709,1.85292475,0.108995573529412,1.462110166,0.244950771331787,ok,Haoges-iMac.local,Apple M1,8
13,Toothbrushes,141,8,42,8,2,8,CG_heurIP,0.086179208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ERR: Undefined function 'B_CG_heuristic_best_rand_cmex' for input arguments of type 'cell'.,Haoges-iMac.local,Apple M1,8
