csv_name,complexity_group,category,STORE,n_upcs,n_obs,n_menus,min_menu_size,max_menu_size,method,total_time_s,error,n_iters,n_ip_calls,ip_total_s,ip_mean_s,ip_max_s,status
group013_PaperTowels_store142.csv,13,PaperTowels,142,35,271,9,28,32,CG_IP,96.007591959,0.20105645406645,55,55,94.2261565,1.71320284545455,4.035996792,ok
group013_PaperTowels_store142.csv,13,PaperTowels,142,35,271,9,28,32,CG_heurIP,72.560406833,0.201056431118134,41,37,71.962501414,1.94493247064865,3.093070833,ok
group014_LaundryDetergents_store146.csv,14,LaundryDetergents,146,115,2096,26,73,92,CG_IP,3600.807594542,7.97758646530932,3,3,3600.524629333,1200.17487644433,1383.385902542,TIMEOUT
group014_LaundryDetergents_store146.csv,14,LaundryDetergents,146,115,2096,26,73,92,CG_heurIP,0,NaN,NaN,NaN,NaN,NaN,NaN,BUDGET_EXHAUSTED
group015_Juice_store143.csv,15,Juice,143,213,6847,44,129,178,CG_IP,3605.230096917,11.9491059686791,3,3,3604.333055541,1201.444351847,2601.383877125,TIMEOUT
group015_Juice_store143.csv,15,Juice,143,213,6847,44,129,178,CG_heurIP,0,NaN,NaN,NaN,NaN,NaN,NaN,BUDGET_EXHAUSTED
group016_Analgesics_store142.csv,16,Analgesics,142,252,3851,32,88,160,CG_IP,3605.530045333,31.9635002548804,1,1,3605.031110333,3605.031110333,3605.031110333,TIMEOUT
group016_Analgesics_store142.csv,16,Analgesics,142,252,3851,32,88,160,CG_heurIP,0,NaN,NaN,NaN,NaN,NaN,NaN,BUDGET_EXHAUSTED
group017_Cigarettes_store142.csv,17,Cigarettes,142,287,3115,35,30,145,CG_IP,3608.125169334,35.1328733600794,1,1,3607.721600208,3607.721600208,3607.721600208,TIMEOUT
group017_Cigarettes_store142.csv,17,Cigarettes,142,287,3115,35,30,145,CG_heurIP,0,NaN,NaN,NaN,NaN,NaN,NaN,BUDGET_EXHAUSTED
