run_tag,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
group014_LaundryDetergents_store146__CG_IP,1,1352.161302,1352.064114,1351.686097
group014_LaundryDetergents_store146__CG_IP,2,892.240776,892.150799,891.818344
group014_LaundryDetergents_store146__CG_IP,3,1432.672216,1432.584201,1432.187267
group014_LaundryDetergents_store146__CG_IP,4,1441.825615,1441.732493,1441.292066
group014_LaundryDetergents_store146__CG_IP,5,1259.710467,1259.615134,1259.192752
group014_LaundryDetergents_store146__CG_IP,6,1017.606784,1017.519337,1017.033974
group014_LaundryDetergents_store146__CG_IP,7,1408.864535,1408.777097,1408.267026
group014_LaundryDetergents_store146__CG_IP,8,1212.998596,1212.911672,1212.440642
group014_LaundryDetergents_store146__CG_IP,9,1199.551314,1199.464505,1199.077081
group014_LaundryDetergents_store146__CG_IP,10,904.909147,904.822182,904.411783
group014_LaundryDetergents_store146__CG_IP,11,1358.897939,1358.808555,1358.413472
group014_LaundryDetergents_store146__CG_IP,12,1358.348964,1358.262147,1357.809300
group014_LaundryDetergents_store146__CG_IP,13,1659.666136,1659.576523,1659.126961
group014_LaundryDetergents_store146__CG_IP,14,1448.847853,1448.760737,1448.345929
group014_LaundryDetergents_store146__CG_IP,15,1464.440059,1464.352760,1463.907583
group014_LaundryDetergents_store146__CG_IP,16,1595.612427,1595.525487,1595.085020
group014_LaundryDetergents_store146__CG_IP,17,1689.845944,1689.759304,1689.321820
group014_LaundryDetergents_store146__CG_IP,18,1595.987630,1595.898396,1595.484687
group014_LaundryDetergents_store146__CG_IP,19,1695.965916,1695.879161,1695.429819
group014_LaundryDetergents_store146__CG_IP,20,1559.508259,1559.418750,1558.952782
group014_LaundryDetergents_store146__CG_IP,21,1983.102605,1983.015822,1982.538543
group014_LaundryDetergents_store146__CG_IP,22,1779.340397,1779.251094,1778.814402
group014_LaundryDetergents_store146__CG_IP,23,2354.602537,2354.512040,2353.991406
group014_LaundryDetergents_store146__CG_IP,24,2080.712700,2080.625765,2080.140419
group014_LaundryDetergents_store146__CG_IP,25,1744.808742,1744.721681,1744.272538
group014_LaundryDetergents_store146__CG_IP,26,2302.738275,2302.651455,2302.127632
group014_LaundryDetergents_store146__CG_IP,27,2012.038752,2011.952029,2011.488266
group014_LaundryDetergents_store146__CG_IP,28,1767.250371,1767.160107,1766.693909
group014_LaundryDetergents_store146__CG_IP,29,2496.007781,2495.920236,2495.423913
group014_LaundryDetergents_store146__CG_IP,30,2182.177347,2182.090266,2181.595296
group014_LaundryDetergents_store146__CG_IP,31,2155.810406,2155.722953,2155.288613
group014_LaundryDetergents_store146__CG_IP,32,2056.089861,2056.002816,2055.521323
group014_LaundryDetergents_store146__CG_IP,33,2180.014553,2179.927899,2179.429424
group014_LaundryDetergents_store146__CG_IP,34,2595.664697,2595.578280,2595.055295
group014_LaundryDetergents_store146__CG_IP,35,3274.067124,3273.980264,3273.548404
group014_LaundryDetergents_store146__CG_IP,36,2212.367435,2212.280940,2211.783513
group014_LaundryDetergents_store146__CG_IP,37,2196.588387,2196.501834,2196.084586
group014_LaundryDetergents_store146__CG_IP,38,2252.997530,2252.907379,2252.494927
group014_LaundryDetergents_store146__CG_IP,39,2039.108153,2039.021942,2038.540523
group014_LaundryDetergents_store146__CG_IP,40,2612.765125,2612.678687,2612.199823
group014_LaundryDetergents_store146__CG_IP,41,2283.412350,2283.325779,2282.907318
group014_LaundryDetergents_store146__CG_IP,42,2394.641694,2394.555349,2394.122755
group014_LaundryDetergents_store146__CG_IP,43,2918.160762,2918.073725,2917.604778
