choice_set,item,n_choices,n_chosen,cp,n_weeks_offered
"[0,1,2,3,4,5,6,7,8,9,10,11,15,19,20]",19,3300,0,0,12
"[0,1,2,3,4,5,6,7,8,9,10,11,15,19,20]",20,3300,0,0,12
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",0,912,814,0.892543859649123,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",1,912,13,0.0142543859649123,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",2,912,0,0,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",3,912,6,0.00657894736842105,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",4,912,5,0.00548245614035088,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",5,912,15,0.0164473684210526,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",6,912,46,0.0504385964912281,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",7,912,10,0.0109649122807018,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",9,912,0,0,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",10,912,0,0,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",11,912,3,0.00328947368421053,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",12,912,0,0,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",14,912,0,0,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",15,912,0,0,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",17,912,0,0,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",19,912,0,0,2
"[0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,19,20]",20,912,0,0,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",0,649,600,0.924499229583975,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",1,649,14,0.0215716486902928,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",2,649,0,0,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",3,649,6,0.00924499229583975,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",4,649,3,0.00462249614791988,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",5,649,11,0.0169491525423729,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",6,649,15,0.0231124807395994,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",9,649,0,0,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",10,649,0,0,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",12,649,0,0,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",14,649,0,0,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",15,649,0,0,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",17,649,0,0,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",19,649,0,0,2
"[0,1,2,3,4,5,6,9,10,12,14,15,17,19,20]",20,649,0,0,2
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",0,2046,1939,0.947702834799609,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",1,2046,33,0.0161290322580645,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",2,2046,0,0,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",3,2046,32,0.0156402737047898,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",4,2046,14,0.00684261974584555,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",5,2046,26,0.0127077223851417,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",9,2046,2,0.000977517106549365,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",10,2046,0,0,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",12,2046,0,0,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",14,2046,0,0,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",15,2046,0,0,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",17,2046,0,0,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",19,2046,0,0,8
"[0,1,2,3,4,5,9,10,12,14,15,17,19,20]",20,2046,0,0,8
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",0,4677,4216,0.901432542227924,22
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",1,4677,79,0.0168911695531323,22
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",2,4677,24,0.00513149454778704,22
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",3,4677,62,0.0132563609151165,22
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",5,4677,100,0.021381227282446,22
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",9,4677,16,0.00342099636519136,22
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",10,4677,46,0.00983536454992517,22
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",12,4677,0,0,22
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",14,4677,0,0,22
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",15,4677,36,0.00769724182168056,22
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",17,4677,0,0,22
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",19,4677,53,0.0113320504596964,22
"[0,1,2,3,5,9,10,12,14,15,17,19,20]",20,4677,45,0.00962155227710071,22
"[0,1,2,3,9,10,12,14,15,17,23,24]",0,615,572,0.930081300813008,2
"[0,1,2,3,9,10,12,14,15,17,23,24]",1,615,9,0.0146341463414634,2
"[0,1,2,3,9,10,12,14,15,17,23,24]",2,615,6,0.00975609756097561,2
"[0,1,2,3,9,10,12,14,15,17,23,24]",3,615,11,0.0178861788617886,2
"[0,1,2,3,9,10,12,14,15,17,23,24]",9,615,3,0.0048780487804878,2
"[0,1,2,3,9,10,12,14,15,17,23,24]",10,615,4,0.00650406504065041,2
"[0,1,2,3,9,10,12,14,15,17,23,24]",12,615,0,0,2
"[0,1,2,3,9,10,12,14,15,17,23,24]",14,615,0,0,2
"[0,1,2,3,9,10,12,14,15,17,23,24]",15,615,7,0.0113821138211382,2
"[0,1,2,3,9,10,12,14,15,17,23,24]",17,615,3,0.0048780487804878,2
"[0,1,2,3,9,10,12,14,15,17,23,24]",23,615,0,0,2
"[0,1,2,3,9,10,12,14,15,17,23,24]",24,615,0,0,2
"[0,1,2,3,9,10,12,14,15,17,23]",0,2379,2186,0.918873476250525,6
"[0,1,2,3,9,10,12,14,15,17,23]",1,2379,31,0.0130306851618327,6
"[0,1,2,3,9,10,12,14,15,17,23]",2,2379,13,0.00546448087431694,6
"[0,1,2,3,9,10,12,14,15,17,23]",3,2379,62,0.0260613703236654,6
"[0,1,2,3,9,10,12,14,15,17,23]",9,2379,8,0.00336275746111812,6
"[0,1,2,3,9,10,12,14,15,17,23]",10,2379,22,0.00924758301807482,6
"[0,1,2,3,9,10,12,14,15,17,23]",12,2379,1,0.000420344682639765,6
"[0,1,2,3,9,10,12,14,15,17,23]",14,2379,0,0,6
"[0,1,2,3,9,10,12,14,15,17,23]",15,2379,40,0.0168137873055906,6
"[0,1,2,3,9,10,12,14,15,17,23]",17,2379,16,0.00672551492223623,6
"[0,1,2,3,9,10,12,14,15,17,23]",23,2379,0,0,6
"[0,1,2,3,9,10,12,14,15,17]",0,5339,4898,0.91740026222139,14
"[0,1,2,3,9,10,12,14,15,17]",1,5339,111,0.020790410189174,14
"[0,1,2,3,9,10,12,14,15,17]",2,5339,36,0.00674283573702941,14
"[0,1,2,3,9,10,12,14,15,17]",3,5339,129,0.0241618280576887,14
"[0,1,2,3,9,10,12,14,15,17]",9,5339,26,0.00486982581007679,14
"[0,1,2,3,9,10,12,14,15,17]",10,5339,54,0.0101142536055441,14
"[0,1,2,3,9,10,12,14,15,17]",12,5339,0,0,14
"[0,1,2,3,9,10,12,14,15,17]",14,5339,0,0,14
"[0,1,2,3,9,10,12,14,15,17]",15,5339,50,0.00936504963476306,14
"[0,1,2,3,9,10,12,14,15,17]",17,5339,35,0.00655553474433414,14
"[0,1,2,3,9,10,12,14,15,23,24,25,26]",0,911,840,0.922063666300768,4
"[0,1,2,3,9,10,12,14,15,23,24,25,26]",1,911,13,0.0142700329308452,4
"[0,1,2,3,9,10,12,14,15,23,24,25,26]",2,911,8,0.00878155872667398,4
"[0,1,2,3,9,10,12,14,15,23,24,25,26]",3,911,14,0.0153677277716795,4
"[0,1,2,3,9,10,12,14,15,23,24,25,26]",9,911,5,0.00548847420417124,4
"[0,1,2,3,9,10,12,14,15,23,24,25,26]",10,911,16,0.017563117453348,4
"[0,1,2,3,9,10,12,14,15,23,24,25,26]",12,911,0,0,4
"[0,1,2,3,9,10,12,14,15,23,24,25,26]",14,911,12,0.013172338090011,4
"[0,1,2,3,9,10,12,14,15,23,24,25,26]",15,911,3,0.00329308452250274,4
"[0,1,2,3,9,10,12,14,15,23,24,25,26]",23,911,0,0,4
"[0,1,2,3,9,10,12,14,15,23,24,25,26]",24,911,0,0,4
"[0,1,2,3,9,10,12,14,15,23,24,25,26]",25,911,0,0,4
