local_idx,UPC,n_weeks_offered,tot_move
294,3800090530,14,5495
295,1600068100,14,5413
296,1600068500,13,5023
297,1780010605,13,3776
298,1780017909,13,1740
299,3000007840,11,4334
300,4300010305,11,4334
301,1600068879,11,2164
302,4300010910,10,3945
303,1600067720,10,3857
304,1600062360,10,1652
305,1780014973,9,1660
306,3800054275,9,1593
307,3800054279,9,1593
308,3800000611,9,1183
309,1600066740,8,1940
310,3800019010,7,2772
311,3828125030,7,2523
312,1600067460,7,1694
313,1780013741,7,1470
314,1780014834,7,1470
315,3000006200,7,918
316,1600067350,6,2376
317,3828198033,6,1959
318,3828125031,6,1113
319,1780000072,6,903
320,3000004340,6,778
321,3000006020,5,1740
322,1600064760,5,1376
323,3000006151,5,734
324,3800003900,5,645
325,3800004220,5,645
326,3800012700,5,645
327,1600068270,4,1582
328,1600085930,4,1582
329,3800070533,4,1550
330,1600066820,4,1122
331,3800004530,3,1194
332,3800013544,3,406
333,1780018429,3,385
334,3000006760,3,384
335,3800004120,3,384
336,3800013010,3,384
337,1600081570,2,797
338,3800003530,2,797
339,1600097980,2,761
340,1780019541,2,683
341,1600065190,2,562
342,1600065727,2,520
343,1600064740,2,473
344,4240091020,2,305
345,1780018704,2,255
346,3800008800,1,252
347,3828125035,1,193
348,3800013644,1,141
