n,seed,weight,method,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
8,1,0.60,CG_IP,1,0.013686,0.013339,0.002341
8,1,0.60,CG_IP,2,0.015343,0.014964,0.003066
8,1,0.60,CG_IP,3,0.015230,0.014867,0.002693
8,1,0.60,CG_IP,4,0.014447,0.014059,0.002628
8,1,0.60,CG_IP,5,0.015364,0.015005,0.002359
8,1,0.60,CG_IP,6,0.015327,0.014969,0.002230
8,1,0.60,CG_IP,7,0.015660,0.015282,0.002079
8,1,0.60,CG_IP,8,0.015649,0.015279,0.002075
8,1,0.60,CG_IP,9,0.015320,0.014916,0.002235
8,1,0.60,CG_IP,10,0.013048,0.012637,0.002364
8,1,0.60,CG_IP,11,0.013938,0.013544,0.002418
8,1,0.60,CG_IP,12,0.015022,0.014652,0.002073
8,1,0.60,CG_IP,13,0.015307,0.014932,0.002195
8,1,0.60,CG_IP,14,0.015427,0.015028,0.002138
8,1,0.60,CG_IP,15,0.015322,0.014938,0.002080
8,1,0.60,CG_IP,16,0.015356,0.014985,0.002082
8,1,0.60,CG_IP,17,0.015427,0.015061,0.002060
8,1,0.60,CG_IP,18,0.015319,0.014959,0.002114
8,1,0.60,CG_IP,19,0.015398,0.015015,0.003609
8,1,0.60,CG_IP,20,0.015318,0.014947,0.002376
8,1,0.60,CG_IP,21,0.015495,0.015129,0.002252
8,1,0.60,CG_IP,22,0.014602,0.014205,0.002561
8,1,0.60,CG_IP,23,0.015383,0.015011,0.002540
8,1,0.60,CG_IP,24,0.015510,0.015112,0.002117
8,1,0.60,CG_IP,25,0.015678,0.015220,0.002175
8,1,0.60,CG_IP,26,0.015342,0.014951,0.002207
8,1,0.60,CG_IP,27,0.013524,0.013131,0.002187
8,1,0.60,CG_IP,28,0.015376,0.014996,0.002147
8,1,0.60,CG_IP,29,0.015033,0.014502,0.002589
8,1,0.60,CG_IP,30,0.015258,0.014893,0.002401
8,1,0.60,CG_IP,31,0.015306,0.014938,0.002217
8,1,0.60,CG_heur_IPverify,1,0.017066,0.014950,0.002319
8,1,0.50,CG_IP,1,0.015295,0.014932,0.002095
8,1,0.50,CG_IP,2,0.015061,0.014698,0.002901
8,1,0.50,CG_IP,3,0.014656,0.014257,0.003316
8,1,0.50,CG_IP,4,0.015280,0.014877,0.002808
8,1,0.50,CG_IP,5,0.015303,0.014923,0.002364
8,1,0.50,CG_IP,6,0.015447,0.015070,0.002815
8,1,0.50,CG_IP,7,0.015488,0.015104,0.002213
8,1,0.50,CG_IP,8,0.015738,0.015334,0.002229
8,1,0.50,CG_IP,9,0.015292,0.014879,0.002082
8,1,0.50,CG_IP,10,0.014361,0.013912,0.002246
8,1,0.50,CG_IP,11,0.016109,0.015317,0.002683
8,1,0.50,CG_IP,12,0.018412,0.018005,0.002474
8,1,0.50,CG_IP,13,0.013574,0.013201,0.002096
8,1,0.50,CG_IP,14,0.015234,0.014857,0.002244
8,1,0.50,CG_IP,15,0.015691,0.015300,0.002210
8,1,0.50,CG_IP,16,0.015402,0.014952,0.002323
8,1,0.50,CG_IP,17,0.015489,0.015040,0.003209
8,1,0.50,CG_IP,18,0.015716,0.015026,0.002439
8,1,0.50,CG_IP,19,0.014960,0.014387,0.002186
8,1,0.50,CG_IP,20,0.015376,0.015007,0.002086
8,1,0.50,CG_IP,21,0.015430,0.015050,0.002353
8,1,0.50,CG_IP,22,0.015582,0.015169,0.002194
8,1,0.50,CG_IP,23,0.014637,0.014244,0.002279
8,1,0.50,CG_IP,24,0.015326,0.014929,0.002280
8,1,0.50,CG_IP,25,0.015412,0.015043,0.002237
8,1,0.50,CG_IP,26,0.015316,0.014936,0.002118
8,1,0.50,CG_IP,27,0.014764,0.014387,0.002262
8,1,0.50,CG_IP,28,0.013145,0.012766,0.002107
8,1,0.50,CG_IP,29,0.015416,0.015043,0.002507
8,1,0.50,CG_IP,30,0.015024,0.014630,0.002225
8,1,0.50,CG_IP,31,0.015355,0.014966,0.002173
8,1,0.50,CG_IP,32,0.015322,0.014925,0.002552
8,1,0.50,CG_IP,33,0.015314,0.014936,0.001540
8,1,0.50,CG_heur_IPverify,1,0.015739,0.014956,0.002229
8,1,0.50,CG_heur_IPverify,2,0.016652,0.014905,0.002076
8,1,0.40,CG_IP,1,0.015169,0.014813,0.002155
8,1,0.40,CG_IP,2,0.015319,0.014917,0.002246
8,1,0.40,CG_IP,3,0.015441,0.015058,0.002118
8,1,0.40,CG_IP,4,0.015301,0.014919,0.002357
8,1,0.40,CG_IP,5,0.015359,0.014988,0.002130
8,1,0.40,CG_IP,6,0.013251,0.012880,0.002040
8,1,0.40,CG_IP,7,0.015268,0.014906,0.002333
8,1,0.40,CG_IP,8,0.015113,0.014718,0.002142
8,1,0.40,CG_IP,9,0.015335,0.014955,0.002910
8,1,0.40,CG_IP,10,0.014354,0.013992,0.002243
8,1,0.40,CG_IP,11,0.015349,0.014987,0.002162
8,1,0.40,CG_IP,12,0.015246,0.014879,0.002538
8,1,0.40,CG_IP,13,0.015203,0.014807,0.002214
8,1,0.40,CG_IP,14,0.014618,0.014243,0.002333
8,1,0.40,CG_IP,15,0.015390,0.015007,0.002095
8,1,0.40,CG_IP,16,0.015337,0.014955,0.002250
8,1,0.40,CG_IP,17,0.015295,0.014894,0.002539
8,1,0.40,CG_IP,18,0.015319,0.014906,0.002206
8,1,0.40,CG_IP,19,0.015280,0.014893,0.002171
8,1,0.40,CG_IP,20,0.015330,0.014964,0.002091
8,1,0.40,CG_IP,21,0.015354,0.014992,0.002147
8,1,0.40,CG_IP,22,0.015200,0.014835,0.002247
8,1,0.40,CG_IP,23,0.015270,0.014890,0.002965
8,1,0.40,CG_IP,24,0.015421,0.015049,0.002227
8,1,0.40,CG_IP,25,0.013942,0.013569,0.002261
8,1,0.40,CG_IP,26,0.015338,0.014939,0.002036
8,1,0.40,CG_IP,27,0.015062,0.014680,0.002173
8,1,0.40,CG_IP,28,0.015249,0.014875,0.002192
8,1,0.40,CG_IP,29,0.014360,0.013271,0.003513
8,1,0.40,CG_IP,30,0.018919,0.018045,0.004547
8,1,0.40,CG_IP,31,0.015376,0.015018,0.001572
8,1,0.40,CG_heur_IPverify,1,0.015413,0.015017,0.003434
8,1,0.40,CG_heur_IPverify,2,0.015297,0.014522,0.003482
8,1,0.40,CG_heur_IPverify,3,0.016305,0.015058,0.001612
8,1,0.30,CG_IP,1,0.015398,0.015028,0.002182
8,1,0.30,CG_IP,2,0.015345,0.014965,0.002421
8,1,0.30,CG_IP,3,0.012901,0.012517,0.002287
8,1,0.30,CG_IP,4,0.014596,0.014189,0.002054
8,1,0.30,CG_IP,5,0.013949,0.013547,0.002293
8,1,0.30,CG_IP,6,0.015189,0.014796,0.002040
8,1,0.30,CG_IP,7,0.015190,0.014814,0.002227
8,1,0.30,CG_IP,8,0.015370,0.014984,0.002287
8,1,0.30,CG_IP,9,0.015276,0.014898,0.002151
8,1,0.30,CG_IP,10,0.015207,0.014848,0.002339
8,1,0.30,CG_IP,11,0.015025,0.014653,0.002248
8,1,0.30,CG_IP,12,0.015501,0.015120,0.002595
8,1,0.30,CG_IP,13,0.015382,0.015007,0.002207
8,1,0.30,CG_IP,14,0.015296,0.014932,0.002208
8,1,0.30,CG_IP,15,0.015327,0.014948,0.002124
8,1,0.30,CG_IP,16,0.015209,0.014823,0.002191
8,1,0.30,CG_IP,17,0.015274,0.014903,0.002349
8,1,0.30,CG_IP,18,0.015562,0.015160,0.002025
8,1,0.30,CG_IP,19,0.015115,0.014716,0.002097
8,1,0.30,CG_IP,20,0.015072,0.014678,0.002182
8,1,0.30,CG_IP,21,0.014136,0.013757,0.002165
8,1,0.30,CG_IP,22,0.014258,0.013875,0.002253
8,1,0.30,CG_IP,23,0.014312,0.013929,0.002330
8,1,0.30,CG_IP,24,0.015185,0.014776,0.002244
8,1,0.30,CG_IP,25,0.015237,0.014878,0.002680
8,1,0.30,CG_IP,26,0.015289,0.014936,0.002147
8,1,0.30,CG_IP,27,0.015764,0.015394,0.001545
8,1,0.30,CG_heur_IPverify,1,0.015517,0.015129,0.002390
8,1,0.30,CG_heur_IPverify,2,0.015484,0.015103,0.003044
8,1,0.30,CG_heur_IPverify,3,0.015859,0.015127,0.001769
8,1,0.20,CG_IP,1,0.015088,0.014637,0.002234
8,1,0.20,CG_IP,2,0.015818,0.015337,0.002489
8,1,0.20,CG_IP,3,0.014391,0.013981,0.002240
8,1,0.20,CG_IP,4,0.014165,0.013770,0.002150
8,1,0.20,CG_IP,5,0.015444,0.015007,0.002610
8,1,0.20,CG_IP,6,0.015312,0.014949,0.002083
8,1,0.20,CG_IP,7,0.015334,0.014961,0.002107
8,1,0.20,CG_IP,8,0.015370,0.015004,0.002779
8,1,0.20,CG_IP,9,0.013734,0.013354,0.002226
8,1,0.20,CG_IP,10,0.015208,0.014846,0.002777
8,1,0.20,CG_IP,11,0.015257,0.014894,0.002291
8,1,0.20,CG_IP,12,0.015440,0.015066,0.002411
8,1,0.20,CG_IP,13,0.015317,0.014940,0.002480
8,1,0.20,CG_IP,14,0.022134,0.021347,0.003069
8,1,0.20,CG_IP,15,0.014794,0.014382,0.002494
8,1,0.20,CG_IP,16,0.015386,0.014974,0.002231
8,1,0.20,CG_IP,17,0.015407,0.015035,0.002186
8,1,0.20,CG_IP,18,0.015494,0.015091,0.002192
8,1,0.20,CG_IP,19,0.015238,0.014847,0.002695
8,1,0.20,CG_IP,20,0.014898,0.014525,0.002763
8,1,0.20,CG_IP,21,0.015427,0.015046,0.002906
8,1,0.20,CG_IP,22,0.015910,0.015531,0.002304
8,1,0.20,CG_IP,23,0.015381,0.015008,0.001564
8,1,0.20,CG_heur_IPverify,1,0.015280,0.014903,0.002217
8,1,0.20,CG_heur_IPverify,2,0.015536,0.015146,0.001857
8,1,0.10,CG_IP,1,0.015349,0.014977,0.002118
8,1,0.10,CG_IP,2,0.015311,0.014922,0.002039
8,1,0.10,CG_IP,3,0.015398,0.015007,0.002260
8,1,0.10,CG_IP,4,0.015281,0.014892,0.002321
8,1,0.10,CG_IP,5,0.015563,0.015179,0.002100
8,1,0.10,CG_IP,6,0.015317,0.014962,0.003501
8,1,0.10,CG_IP,7,0.015268,0.014892,0.002191
